1	Paraguay	 45,130,000,000.00
2	Italy	 44,450,000,000.00
3	Brazil	 39,670,000,000.00
4	United States	 34,320,000,000.00
5	Canada	 33,620,000,000.00
6	France	 25,700,000,000.00
7	Russia	 14,630,000,000.00
8	Czech Republic	 13,640,000,000.00
9	Germany	 12,280,000,000.00
10	Hong Kong	 12,260,000,000.00
11	Finland	 12,090,000,000.00
12	Uzbekistan	 11,440,000,000.00
13	China	 11,380,000,000.00
14	Hungary	  9,879,000,000.00
15	Norway	  8,983,000,000.00
16	Spain	  8,104,000,000.00
17	Ukraine	  6,730,000,000.00
18	Bhutan	  5,693,000,000.00
19	Iraq	  5,600,000,000.00
20	Argentina	  5,530,000,000.00
21	India	  5,270,000,000.00
22	Zimbabwe	  5,268,000,000.00
23	Croatia	  5,073,000,000.00
24	Bulgaria	  5,073,000,000.00
25	Netherlands	  4,888,000,000.00
26	Portugal	  4,776,000,000.00
27	Sweden	  4,686,000,000.00
28	Greece	  4,368,000,000.00
29	Vietnam	  3,850,000,000.00
30	Israel	  3,666,000,000.00
31	Mozambique	  3,436,000,000.00
32	Morocco	  3,429,000,000.00
33	Luxembourg	  3,418,000,000.00
34	West Bank	  3,200,000,000.00
35	Slovenia	  3,041,000,000.00
36	Estonia	  3,025,000,000.00
37	Moldova	  2,958,000,000.00
38	Lithuania	  2,932,000,000.00
39	United Kingdom	  2,861,000,000.00
40	Macau	  2,790,000,000.00
41	Thailand	  2,313,000,000.00
42	Romania	  2,295,000,000.00
43	Poland	  2,191,000,000.00
44	Switzerland	  2,157,000,000.00
45	Namibia	  2,100,000,000.00
46	Iran	  2,060,000,000.00
47	Botswana	  1,959,000,000.00
48	Kazakhstan	  1,940,000,000.00
49	Albania	  1,884,000,000.00
50	Belarus	  1,840,000,000.00
51	Belgium	  1,837,000,000.00
52	South Africa	  1,757,000,000.00
53	Latvia	  1,654,000,000.00
54	Turkmenistan	  1,476,000,000.00
55	Colombia	  1,396,000,000.00
56	Macedonia	  1,370,000,000.00
57	Slovakia	  1,312,000,000.00
58	Bosnia and Herzegovina	  1,200,000,000.00
59	Lebanon	  1,114,000,000.00
60	Ecuador	  1,099,000,000.00
61	Laos	   999,000,000.00
62	Egypt	   896,000,000.00
63	Chile	   818,000,000.00
64	Austria	   776,000,000.00
65	Serbia	   770,000,000.00
66	Swaziland	   756,000,000.00
67	Ireland	   756,000,000.00
68	Turkey	   737,000,000.00
69	Mexico	   699,200,000.00
70	Togo	   666,000,000.00
71	Benin	   651,000,000.00
72	Cote d'Ivoire	   599,000,000.00
73	Azerbaijan	   596,000,000.00
74	Congo, Democratic Republic of the	   591,000,000.00
75	Kyrgyzstan	   535,000,000.00
76	Andorra	   497,700,000.00
77	Niger	   440,000,000.00
78	Congo, Republic of the	   436,000,000.00
79	Uruguay	   386,800,000.00
80	Cambodia	   374,000,000.00
81	Venezuela	   373,000,000.00
82	Tajikistan	   338,500,000.00
83	Denmark	   333,000,000.00
84	Zambia	   279,000,000.00
85	Ghana	   263,000,000.00
86	Jordan	   224,000,000.00
87	Mongolia	   214,100,000.00
88	El Salvador	   208,400,000.00
89	Burkina Faso	   144,600,000.00
90	Afghanistan	   120,000,000.00
91	Georgia	   117,000,000.00
92	Lesotho	   107,000,000.00
93	Rwanda	    88,000,000.00
94	Uganda	    82,040,000.00
95	Burundi	    80,000,000.00
96	Panama	    73,000,000.00
97	Guatemala	    71,000,000.00
98	Costa Rica	    70,000,000.00
99	Nepal	    70,000,000.00
100	Algeria	    49,000,000.00
101	Libya	    48,000,000.00
102	Armenia	    17,000,000.00
103	Kenya	    16,000,000.00
104	Tunisia	     7,000,000.00
105	Nicaragua	     2,000,000.00
106	Gaza Strip	      120,000.00
107	Mauritania	           0.00
108	Malta	           0.00
109	Oman	           0.00
110	Maldives	           0.00
111	Malaysia	           0.00
112	New Caledonia	           0.00
113	Niue	           0.00
114	Vanuatu	           0.00
115	Nigeria	           0.00
116	Nauru	           0.00
117	Suriname	           0.00
118	New Zealand	           0.00
119	Peru	           0.00
120	Pakistan	           0.00
121	Papua New Guinea	           0.00
122	Guinea-Bissau	           0.00
123	Qatar	           0.00
124	Philippines	           0.00
125	Puerto Rico	           0.00
126	Saudi Arabia	           0.00
127	Saint Pierre and Miquelon	           0.00
128	Saint Kitts and Nevis	           0.00
129	Seychelles	           0.00
130	Senegal	           0.00
131	Saint Helena, Ascension, and Tristan da Cunha	           0.00
132	Sierra Leone	           0.00
133	Singapore	           0.00
134	Somalia	           0.00
135	Saint Lucia	           0.00
136	Sudan	           0.00
137	Syria	           0.00
138	Trinidad and Tobago	           0.00
139	Turks and Caicos Islands	           0.00
140	Tonga	           0.00
141	Sao Tome and Principe	           0.00
142	Timor-Leste	           0.00
143	Taiwan	           0.00
144	Tanzania	           0.00
145	Saint Vincent and the Grenadines	           0.00
146	British Virgin Islands	           0.00
147	Virgin Islands	           0.00
148	Wallis and Futuna	           0.00
149	Western Sahara	           0.00
150	Samoa	           0.00
151	Yemen	           0.00
152	Aruba	           0.00
153	Antigua and Barbuda	           0.00
154	United Arab Emirates	           0.00
155	Angola	           0.00
156	American Samoa	           0.00
157	Australia	           0.00
158	Bahrain	           0.00
159	Barbados	           0.00
160	Bermuda	           0.00
161	Bahamas, The	           0.00
162	Bangladesh	           0.00
163	Belize	           0.00
