This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - production(cu m) 	 Date of Information
1 	 World 	   2,769,000,000,000 	 2005 est.
2 	 Russia 	    614,400,000,000 	 2005 est.
3 	 United States 	    490,800,000,000 	 2005 est.
4 	 European Union 	    213,700,000,000 	 2005 est.
5 	 Canada 	    178,200,000,000 	 2005 est.
6 	 Iran 	     96,770,000,000 	 2005 est.
7 	 Algeria 	     84,400,000,000 	 2005 est.
8 	 United Kingdom 	     84,160,000,000 	 2005 est.
9 	 Norway 	     83,440,000,000 	 2005 est.
10 	 Netherlands 	     75,580,000,000 	 2005 est.
11 	 Indonesia 	     70,780,000,000 	 2005 est.
12 	 Saudi Arabia 	     68,320,000,000 	 2005 est.
13 	 Uzbekistan 	     62,500,000,000 	 2006 est.
14 	 Malaysia 	     60,900,000,000 	 2005 est.
15 	 Turkmenistan 	     60,420,000,000 	 2005 est.
16 	 China 	     47,880,000,000 	 2005 est.
17 	 United Arab Emirates 	     45,070,000,000 	 2005 est.
18 	 Qatar 	     43,930,000,000 	 2005 est.
19 	 Argentina 	     43,760,000,000 	 2005 est.
20 	 Mexico 	     41,370,000,000 	 2005 est.
21 	 Egypt 	     40,760,000,000 	 2005 est.
22 	 Australia 	     38,620,000,000 	 2005 est.
23 	 Pakistan 	     29,540,000,000 	 2005 est.
24 	 Trinidad and Tobago 	     29,040,000,000 	 2005 est.
25 	 India 	     28,680,000,000 	 2005 est.
26 	 Venezuela 	     27,530,000,000 	 2005 est.
27 	 Kazakhstan 	     25,390,000,000 	 2005 est.
28 	 Thailand 	     22,730,000,000 	 2005 est.
29 	 Nigeria 	     21,480,000,000 	 2005 est.
30 	 Ukraine 	     20,850,000,000 	 2006 est.
31 	 Germany 	     19,900,000,000 	 2005 est.
32 	 Oman 	     18,980,000,000 	 2005 est.
33 	 Bangladesh 	     13,430,000,000 	 2005 est.
34 	 Burma 	     12,470,000,000 	 2005 est.
35 	 Bolivia 	     11,840,000,000 	 2005 est.
36 	 Kuwait 	     11,800,000,000 	 2005 est.
37 	 Italy 	     11,490,000,000 	 2005 est.
38 	 Romania 	     11,220,000,000 	 2005 est.
39 	 Brunei 	     11,030,000,000 	 2005 est.
40 	 Libya 	     10,840,000,000 	 2005 est.
41 	 Bahrain 	     10,270,000,000 	 2005 est.
42 	 Denmark 	      9,870,000,000 	 2006 est.
43 	 Brazil 	      9,370,000,000 	 2005 est.
44 	 Syria 	      8,500,000,000 	 2006 est.
45 	 Colombia 	      6,397,000,000 	 2005 est.
46 	 Poland 	      5,828,000,000 	 2005
47 	 Azerbaijan 	      5,010,000,000 	 2005 est.
48 	 Japan 	      4,850,000,000 	 2005 est.
49 	 New Zealand 	      3,913,000,000 	 2005 est.
50 	 Vietnam 	      3,836,000,000 	 2005 est.
51 	 Hungary 	      2,904,000,000 	 2005 est.
52 	 Philippines 	      2,781,000,000 	 2005 est.
53 	 Tunisia 	      2,398,000,000 	 2005 est.
54 	 Iraq 	      2,350,000,000 	 2005 est.
55 	 South Africa 	      2,110,000,000 	 2005 est.
56 	 Chile 	      1,957,000,000 	 2005 est.
57 	 Austria 	      1,570,000,000 	 2005
58 	 Peru 	      1,515,000,000 	 2005 est.
59 	 Croatia 	      1,477,000,000 	 2005 est.
60 	 France 	      1,400,000,000 	 2004 est.
61 	 Equatorial Guinea 	      1,247,000,000 	 2005 est.
62 	 Cote d'Ivoire 	      1,247,000,000 	 2005 est.
63 	 Turkey 	       860,300,000 	 2005 est.
64 	 Angola 	       767,300,000 	 2005 est.
65 	 Taiwan 	       767,300,000 	 2005 est.
66 	 Israel 	       709,700,000 	 2005 est.
67 	 Serbia 	       650,000,000 	 2005 est.
