This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet users 	 Date of Information
1 	 World 	      1,018,057,389 	 2005
2 	 European Union 	       247,000,000 	 2006
3 	 United States 	       208,000,000 	 2006
4 	 China 	       137,000,000 	 2006
5 	 Japan 	        87,540,000 	 2006
6 	 India 	        60,000,000 	 2005
7 	 Brazil 	        42,600,000 	 2006
8 	 Germany 	        38,600,000 	 2006
9 	 Korea, South 	        34,120,000 	 2006
10 	 United Kingdom 	        33,534,000 	 2006
11 	 France 	        31,295,000 	 2007
12 	 Italy 	        28,855,000 	 2006
13 	 Russia 	        25,689,000 	 2006
14 	 Canada 	        22,000,000 	 2005
15 	 Mexico 	        22,000,000 	 2006
16 	 Spain 	        18,578,000 	 2006
17 	 Iran 	        18,000,000 	 2006
18 	 Indonesia 	        16,000,000 	 2005
19 	 Australia 	        15,300,000 	 2006
20 	 Vietnam 	        14,684,000 	 2006
21 	 Netherlands 	        14,544,000 	 2006
22 	 Taiwan 	        13,210,000 	 2005
23 	 Turkey 	        12,284,000 	 2006
24 	 Pakistan 	        12,000,000 	 2006
25 	 Malaysia 	        11,292,000 	 2006
26 	 Poland 	        11,000,000 	 2006
27 	 Thailand 	         8,466,000 	 2006
28 	 Argentina 	         8,184,000 	 2006
29 	 Nigeria 	         8,000,000 	 2006
30 	 Sweden 	         6,981,000 	 2006
31 	 Colombia 	         6,705,000 	 2006
32 	 Morocco 	         6,100,000 	 2006
33 	 Peru 	         6,100,000 	 2006
34 	 Egypt 	         6,000,000 	 2006
35 	 Ukraine 	         5,545,000 	 2006
36 	 Belarus 	         5,478,000 	 2006
37 	 South Africa 	         5,100,000 	 2005
38 	 Romania 	         5,063,000 	 2006
39 	 Belgium 	         4,800,000 	 2005
40 	 Saudi Arabia 	         4,700,000 	 2006
41 	 Philippines 	         4,615,000 	 2005
42 	 Switzerland 	         4,360,000 	 2006
43 	 Austria 	         4,200,000 	 2006
44 	 Chile 	         4,156,000 	 2006
45 	 Venezuela 	         4,140,000 	 2006
46 	 Norway 	         4,074,000 	 2006
47 	 Hong Kong 	         3,770,000 	 2006
48 	 Czech Republic 	         3,541,000 	 2006
49 	 Hungary 	         3,500,000 	 2006
50 	 Sudan 	         3,500,000 	 2006
51 	 Portugal 	         3,213,000 	 2006
52 	 New Zealand 	         3,200,000 	 2006
53 	 Denmark 	         3,171,000 	 2006
54 	 Finland 	         2,925,000 	 2006
55 	 Kenya 	         2,770,000 	 2006
56 	 Algeria 	         2,460,000 	 2006
57 	 Slovakia 	         2,256,000 	 2006
58 	 Greece 	         2,048,000 	 2006
59 	 Israel 	         1,899,000 	 2006
60 	 Bulgaria 	         1,870,000 	 2006
61 	 Singapore 	         1,717,000 	 2006
62 	 United Arab Emirates 	         1,709,000 	 2006
63 	 Uzbekistan 	         1,700,000 	 2006
64 	 Croatia 	         1,576,000 	 2006
65 	 Ecuador 	         1,549,000 	 2006
66 	 Syria 	         1,500,000 	 2006
67 	 Ireland 	         1,437,000 	 2006
68 	 Serbia 	         1,400,000 	 2006
69 	 Guatemala 	         1,320,000 	 2006
70 	 Tunisia 	         1,295,000 	 2006
71 	 Slovenia 	         1,251,000 	 2006
