This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Infant mortality rate(deaths/1,000 live births) 	 Date of Information
1 	 Angola 	    184.44 	 2007 est.
2 	 Sierra Leone 	    158.27 	 2007 est.
3 	 Afghanistan 	    157.43 	 2007 est.
4 	 Liberia 	    149.73 	 2007 est.
5 	 Niger 	    116.83 	 2007 est.
6 	 Somalia 	    113.08 	 2007 est.
7 	 Mozambique 	    109.93 	 2007 est.
8 	 Mali 	    105.65 	 2007 est.
9 	 Guinea-Bissau 	    103.50 	 2007 est.
10 	 Chad 	    102.07 	 2007 est.
11 	 Djibouti 	    100.77 	 2007 est.
12 	 Zambia 	    100.71 	 2007 est.
13 	 Bhutan 	     96.37 	 2007 est.
14 	 Nigeria 	     95.52 	 2007 est.
15 	 Malawi 	     92.10 	 2007 est.
16 	 Ethiopia 	     91.92 	 2007 est.
17 	 Sudan 	     91.78 	 2007 est.
18 	 Burkina Faso 	     89.79 	 2007 est.
19 	 Guinea 	     88.58 	 2007 est.
20 	 Cote d'Ivoire 	     87.41 	 2007 est.
21 	 Equatorial Guinea 	     87.15 	 2007 est.
22 	 Rwanda 	     85.27 	 2007 est.
23 	 Central African Republic 	     83.97 	 2007 est.
24 	 Congo, Republic of the 	     83.26 	 2007 est.
25 	 Laos 	     81.44 	 2007 est.
26 	 Lesotho 	     79.85 	 2007 est.
27 	 Benin 	     77.85 	 2007 est.
28 	 Tanzania 	     71.69 	 2007 est.
29 	 Comoros 	     70.66 	 2007 est.
30 	 Swaziland 	     70.66 	 2007 est.
31 	 Gambia, The 	     70.14 	 2007 est.
32 	 Uzbekistan 	     68.89 	 2007 est.
33 	 Pakistan 	     68.84 	 2007 est.
34 	 Mauritania 	     68.07 	 2007 est.
35 	 Uganda 	     67.22 	 2007 est.
36 	 Cameroon 	     65.84 	 2007 est.
