This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Infant mortality rate(deaths/1,000 live births) 	 Date of Information
129 	 Jamaica 	     16.33 	 2005 est.
130 	 Greenland 	     15.82 	 2005 est.
131 	 Turks and Caicos Islands 	     15.67 	 2005 est.
132 	 Seychelles 	     15.53 	 2005 est.
133 	 Russia 	     15.39 	 2005 est.
134 	 Argentina 	     15.18 	 2005 est.
135 	 Mauritius 	     15.03 	 2005 est.
136 	 Palau 	     14.84 	 2005 est.
137 	 Saint Vincent and the Grenadines 	     14.78 	 2005 est.
138 	 Grenada 	     14.62 	 2005 est.
139 	 United Arab Emirates 	     14.51 	 2005 est.
140 	 Saint Kitts and Nevis 	     14.49 	 2005 est.
141 	 Sri Lanka 	     14.35 	 2005 est.
142 	 Dominica 	     14.15 	 2005 est.
143 	 Saint Lucia 	     13.53 	 2005 est.
144 	 Belarus 	     13.37 	 2005 est.
145 	 Saudi Arabia 	     13.24 	 2005 est.
146 	 Serbia and Montenegro 	     12.89 	 2005 est.
147 	 Fiji 	     12.62 	 2005 est.
148 	 Tonga 	     12.62 	 2005 est.
149 	 Brunei 	     12.61 	 2005 est.
150 	 French Guiana 	     12.07 	 2005 est.
151 	 Uruguay 	     11.95 	 2005 est.
152 	 Barbados 	     11.72 	 2005 est.
153 	 Ukraine 	     10.11 	 2005 est.
154 	 Macedonia 	     10.09 	 2005 est.
155 	 Bosnia and Herzegovina 	     10.07 	 2005 est.
156 	 Netherlands Antilles 	     10.03 	 2005 est.
157 	 Costa Rica 	      9.95 	 2005 est.
158 	 Kuwait 	      9.95 	 2005 est.
159 	 Nauru 	      9.95 	 2005 est.
160 	 Latvia 	      9.55 	 2005 est.
161 	 Puerto Rico 	      9.28 	 2005 est.
162 	 American Samoa 	      9.27 	 2005 est.
163 	 Chile 	      8.80 	 2005 est.
164 	 Guadeloupe 	      8.60 	 2005 est.
165 	 Hungary 	      8.57 	 2005 est.
166 	 Bermuda 	      8.53 	 2005 est.
167 	 French Polynesia 	      8.44 	 2005 est.
168 	 Cayman Islands 	      8.19 	 2005 est.
169 	 Virgin Islands 	      8.03 	 2005 est.
170 	 Estonia 	      7.87 	 2005 est.
171 	 Reunion 	      7.78 	 2005 est.
172 	 New Caledonia 	      7.72 	 2005 est.
173 	 Saint Pierre and Miquelon 	      7.54 	 2005 est.
174 	 Slovakia 	      7.41 	 2005 est.
175 	 Poland 	      7.36 	 2005 est.
176 	 Montserrat 	      7.35 	 2005 est.
177 	 Cyprus 	      7.18 	 2005 est.
178 	 Northern Mariana Islands 	      7.11 	 2005 est.
179 	 Martinique 	      7.09 	 2005 est.
180 	 Israel 	      7.03 	 2005 est.
181 	 Guam 	      6.94 	 2005 est.
182 	 Lithuania 	      6.89 	 2005 est.
183 	 Croatia 	      6.84 	 2005 est.
184 	 United States 	      6.50 	 2005 est.
185 	 Taiwan 	      6.40 	 2005 est.
186 	 Cuba 	      6.33 	 2005 est.
187 	 Korea, South 	      6.28 	 2005 est.
188 	 Faroe Islands 	      6.24 	 2005 est.
189 	 Italy 	      5.94 	 2005 est.
190 	 Isle of Man 	      5.93 	 2005 est.
191 	 Aruba 	      5.89 	 2005 est.
192 	 New Zealand 	      5.85 	 2005 est.
193 	 San Marino 	      5.73 	 2005 est.
194 	 Greece 	      5.53 	 2005 est.
195 	 Monaco 	      5.43 	 2005 est.
196 	 Ireland 	      5.39 	 2005 est.
197 	 Jersey 	      5.24 	 2005 est.
198 	 United Kingdom 	      5.16 	 2005 est.
199 	 Gibraltar 	      5.13 	 2005 est.
200 	 European Union 	      5.10 	 July 2005 est.
201 	 Portugal 	      5.05 	 2005 est.
202 	 Netherlands 	      5.04 	 2005 est.
203 	 Luxembourg 	      4.81 	 2005 est.
204 	 Canada 	      4.75 	 2005 est.
205 	 Guernsey 	      4.71 	 2005 est.
206 	 Liechtenstein 	      4.70 	 2005 est.
207 	 Australia 	      4.69 	 2005 est.
208 	 Belgium 	      4.68 	 2005 est.
209 	 Austria 	      4.66 	 2005 est.
210 	 Denmark 	      4.56 	 2005 est.
211 	 Slovenia 	      4.45 	 2005 est.
212 	 Spain 	      4.42 	 2005 est.
213 	 Switzerland 	      4.39 	 2005 est.
214 	 Macau 	      4.37 	 2005 est.
215 	 France 	      4.26 	 2005 est.
216 	 Germany 	      4.16 	 2005 est.
217 	 Andorra 	      4.05 	 2005 est.
218 	 Czech Republic 	      3.93 	 2005 est.
219 	 Malta 	      3.89 	 2005 est.
220 	 Norway 	      3.70 	 2005 est.
221 	 Finland 	      3.57 	 2005 est.
222 	 Iceland 	      3.31 	 2005 est.
223 	 Japan 	      3.26 	 2005 est.
224 	 Hong Kong 	      2.96 	 2005 est.
225 	 Sweden 	      2.77 	 2005 est.
226 	 Singapore 	      2.29 	 2005 est.

 This file was last updated on 10 January, 2006
