This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Industrial production growth rate(%) 	 Date of Information
1 	 Equatorial Guinea 	           30.00 	 2002 est.
2 	 China 	           27.70 	 2005 est.
3 	 Algeria 	           25.50 	 2005 est.
4 	 Azerbaijan 	           25.00 	 2005 est.
5 	 Cambodia 	           22.00 	 2002 est.
6 	 Turkmenistan 	           22.00 	 2003 est.
7 	 Burundi 	           18.00 	 2001
8 	 Moldova 	           17.00 	 2003 est.
9 	 Lesotho 	           15.50 	 1999
10 	 Vietnam 	           15.20 	 2005 est.
11 	 Armenia 	           15.00 	 2002 est.
12 	 Cote d'Ivoire 	           15.00 	 1998 est.
13 	 Iceland 	           14.20 	 2005 est.
14 	 Burkina Faso 	           14.00 	 2001 est.
15 	 Laos 	           13.00 	 2005 est.
16 	 Kazakhstan 	           10.70 	 2005 est.
17 	 Pakistan 	           10.70 	 2005 est.
18 	 Qatar 	           10.00 	 2003 est.
19 	 Zambia 	            9.80 	 2005 est.
20 	 Uzbekistan 	            9.40 	 2004 est.
21 	 Bhutan 	            9.30 	 1996 est.
22 	 Slovakia 	            9.30 	 2005 est.
23 	 Trinidad and Tobago 	            9.00 	 2005 est.
24 	 Uganda 	            9.00 	 2005 est.
25 	 Nepal 	            8.70 	 FY99/00
26 	 Tonga 	            8.60 	 FY98/99
27 	 Latvia 	            8.50 	 2005 est.
28 	 Poland 	            8.50 	 2005 est.
29 	 East Timor 	            8.50 	 
30 	 Sudan 	            8.50 	 1999 est.
31 	 Tanzania 	            8.40 	 1999 est.
32 	 Benin 	            8.30 	 2001 est.
33 	 India 	            8.20 	 2005 est.
34 	 Thailand 	            8.20 	 2005 est.
35 	 Tajikistan 	            8.20 	 2002 est.
36 	 Faroe Islands 	            8.00 	 1999 est.
37 	 Mauritius 	            8.00 	 2000 est.
38 	 Honduras 	            7.70 	 2003 est.
39 	 Argentina 	            7.50 	 2005 est.
40 	 Hungary 	            7.50 	 2005 est.
41 	 Jordan 	            7.50 	 2005 est.
42 	 Estonia 	            7.30 	 2004 est.
43 	 Kyrgyzstan 	            7.10 	 2004 est.
44 	 Bulgaria 	            7.00 	 2005 est.
45 	 Syria 	            7.00 	 2002 est.
46 	 Rwanda 	            7.00 	 2001 est.
47 	 Bangladesh 	            6.70 	 2005 est.
48 	 Ethiopia 	            6.70 	 2001 est.
49 	 Peru 	            6.60 	 2005 est.
