This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - production(bbl/day) 	 Date of Information
187 	 Cayman Islands 	               0 	 2003
188 	 Sri Lanka 	               0 	 2003 est.
189 	 Cambodia 	               0 	 2003
190 	 Haiti 	               0 	 2003 est.
191 	 Guyana 	               0 	 2003 est.
192 	 Guinea 	               0 	 2003 est.
193 	 Guam 	               0 	 2003 est.
194 	 Guadeloupe 	               0 	 2003 est.
195 	 Greenland 	               0 	 2003 est.
196 	 Grenada 	               0 	 2003 est.
197 	 Gibraltar 	               0 	 2003 est.
198 	 French Polynesia 	               0 	 2003 est.
199 	 Faroe Islands 	               0 	 2003 est.
200 	 Falkland Islands (Islas Malvinas) 	               0 	 2003 est.
201 	 Fiji 	               0 	 2003 est.
202 	 French Guiana 	               0 	 2003 est.
203 	 Ethiopia 	               0 	 2003 est.
204 	 El Salvador 	               0 	 2003 est.
205 	 Eritrea 	               0 	 2003 est.
206 	 Ireland 	               0 	 2003 est.
207 	 Bhutan 	               0 	 2003
208 	 Bosnia and Herzegovina 	               0 	 2003
209 	 Belize 	               0 	 2003
210 	 Bermuda 	               0 	 2003
211 	 Armenia 	               0 	 2003
212 	 American Samoa 	               0 	 2003
213 	 Afghanistan 	               0 	 2003

 This file was last updated on 10 January, 2006
