This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Birth rate(births/1,000 population) 	 Date of Information
1 	 Niger 	     51.33 	 2005 est.
2 	 Mali 	     49.99 	 2005 est.
3 	 Uganda 	     47.39 	 2005 est.
4 	 Afghanistan 	     47.02 	 2005 est.
5 	 Chad 	     46.17 	 2005 est.
6 	 Sierra Leone 	     46.13 	 2005 est.
7 	 Burkina Faso 	     45.96 	 2005 est.
8 	 Angola 	     45.63 	 2005 est.
9 	 Somalia 	     45.62 	 2005 est.
10 	 Liberia 	     45.61 	 2005 est.
11 	 Congo, Democratic Republic of the 	     44.07 	 2005 est.
12 	 Malawi 	     43.49 	 2005 est.
13 	 Yemen 	     43.07 	 2005 est.
14 	 Congo, Republic of the 	     43.01 	 2005 est.
15 	 Burundi 	     42.46 	 2005 est.
16 	 Guinea 	     42.01 	 2005 est.
17 	 Madagascar 	     41.66 	 2005 est.
18 	 Mayotte 	     41.58 	 2005 est.
19 	 Mauritania 	     41.43 	 2005 est.
20 	 Zambia 	     41.38 	 2005 est.
21 	 Sao Tome and Principe 	     40.80 	 2005 est.
22 	 Nigeria 	     40.65 	 2005 est.
23 	 Rwanda 	     40.60 	 2005 est.
24 	 Kenya 	     40.13 	 2005 est.
25 	 Gaza Strip 	     40.03 	 2005 est.
26 	 Djibouti 	     39.98 	 2005 est.
27 	 Gambia, The 	     39.89 	 2005 est.
28 	 Benin 	     39.58 	 2005 est.
29 	 Ethiopia 	     38.61 	 2005 est.
30 	 Tanzania 	     38.16 	 2005 est.
31 	 Guinea-Bissau 	     37.62 	 2005 est.
32 	 Comoros 	     37.52 	 2005 est.
33 	 Togo 	     37.17 	 2005 est.
34 	 Oman 	     36.73 	 2005 est.
35 	 Haiti 	     36.59 	 2005 est.
36 	 Gabon 	     36.34 	 2005 est.
37 	 Equatorial Guinea 	     36.01 	 2005 est.
38 	 Laos 	     35.99 	 2005 est.
39 	 Mozambique 	     35.79 	 2005 est.
40 	 Cote d'Ivoire 	     35.51 	 2005 est.
41 	 Maldives 	     35.43 	 2005 est.
42 	 Sudan 	     35.17 	 2005 est.
43 	 Eritrea 	     34.78 	 2005 est.
44 	 Central African Republic 	     34.32 	 2005 est.
45 	 Cameroon 	     34.30 	 2005 est.
46 	 Bhutan 	     34.03 	 2005 est.
47 	 Marshall Islands 	     33.52 	 2005 est.
48 	 Senegal 	     33.42 	 2005 est.
49 	 Tajikistan 	     32.58 	 2005 est.
50 	 Iraq 	     32.50 	 2005 est.
51 	 West Bank 	     32.37 	 2005 est.
52 	 Nepal 	     31.45 	 2005 est.
53 	 Ghana 	     31.12 	 2005 est.
54 	 Kiribati 	     30.86 	 2005 est.
55 	 Solomon Islands 	     30.74 	 2005 est.
56 	 Guatemala 	     30.56 	 2005 est.
57 	 Pakistan 	     30.42 	 2005 est.
58 	 Bangladesh 	     30.01 	 2005 est.
59 	 Papua New Guinea 	     29.95 	 2005 est.
60 	 Saudi Arabia 	     29.56 	 2005 est.
61 	 Paraguay 	     29.43 	 2005 est.
62 	 Belize 	     29.32 	 2005 est.
63 	 Honduras 	     28.87 	 2005 est.
64 	 Syria 	     28.29 	 2005 est.
65 	 Zimbabwe 	     28.22 	 2005 est.
66 	 Swaziland 	     27.92 	 2005 est.
67 	 Turkmenistan 	     27.68 	 2005 est.
68 	 East Timor 	     27.19 	 2005 est.
69 	 El Salvador 	     27.04 	 2005 est.
70 	 Cambodia 	     26.93 	 2005 est.
71 	 Libya 	     26.82 	 2005 est.
72 	 Uzbekistan 	     26.22 	 2005 est.
73 	 Cape Verde 	     25.33 	 2005 est.
74 	 Philippines 	     25.31 	 2005 est.
75 	 Tonga 	     25.18 	 2005 est.
76 	 Namibia 	     25.16 	 2005 est.
77 	 Nauru 	     25.14 	 2005 est.
78 	 Lesotho 	     25.12 	 2005 est.
