This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Debt - external 	 Date of Information
1 	 World 	 $   12,700,000,000,000 	 2004 est.
2 	 United States 	 $    8,837,000,000,000 	 30 June 2005 est.
3 	 United Kingdom 	 $    7,107,000,000,000 	 30 June 2005
4 	 Germany 	 $    3,626,000,000,000 	 30 June 2005
5 	 France 	 $    2,826,000,000,000 	 30 June 2005
6 	 Italy 	 $    1,682,000,000,000 	 30 June 2005 est.
7 	 Netherlands 	 $    1,645,000,000,000 	 30 June 2005
8 	 Japan 	 $    1,545,000,000,000 	 31 December 2004
9 	 Spain 	 $    1,249,000,000,000 	 30 June 2005 est.
10 	 Ireland 	 $    1,049,000,000,000 	 30 June 2005
11 	 Belgium 	 $     980,100,000,000 	 30 June 2005 est.
12 	 Switzerland 	 $     856,000,000,000 	 30 June 2005
13 	 Canada 	 $     600,700,000,000 	 30 June 2005
14 	 Sweden 	 $     516,100,000,000 	 30 June 2005
15 	 Austria 	 $     510,600,000,000 	 30 June 2005 est.
16 	 Australia 	 $     509,600,000,000 	 30 June 2005 est.
17 	 Hong Kong 	 $     416,500,000,000 	 30 June 2005 est.
18 	 Denmark 	 $     352,900,000,000 	 30 June 2005
19 	 Portugal 	 $     298,700,000,000 	 30 June 2005 est.
20 	 Norway 	 $     281,000,000,000 	 30 June 2005
21 	 China 	 $     242,000,000,000 	 2005 est.
22 	 Russia 	 $     230,300,000,000 	 30 June 2005 est.
23 	 Finland 	 $     211,700,000,000 	 30 June 2005
24 	 Brazil 	 $     211,400,000,000 	 30 June 2005 est.
25 	 Korea, South 	 $     188,400,000,000 	 30 June 2005 est.
26 	 Mexico 	 $     174,300,000,000 	 30 June 2005 est.
27 	 Turkey 	 $     161,800,000,000 	 30 June 2005 est.
28 	 Indonesia 	 $     140,600,000,000 	 2005 est.
29 	 Poland 	 $     123,400,000,000 	 30 June 2005 est.
30 	 India 	 $     119,700,000,000 	 2005 est.
31 	 Argentina 	 $     119,000,000,000 	 June 2005 est.
32 	 Iraq 	 $      82,100,000,000 	 2005 est.
33 	 Taiwan 	 $      81,640,000,000 	 2005 est.
34 	 Hungary 	 $      76,230,000,000 	 30 June 2005 est.
35 	 Greece 	 $      75,100,000,000 	 2005 est.
36 	 Israel 	 $      73,870,000,000 	 30 June 2005 est.
37 	 Philippines 	 $      67,620,000,000 	 2005 est.
38 	 New Zealand 	 $      57,670,000,000 	 2005 est.
39 	 Malaysia 	 $      56,720,000,000 	 30 June 2005 est.
40 	 Thailand 	 $      50,630,000,000 	 30 June 2005 est.
41 	 Chile 	 $      44,800,000,000 	 31 October 2005 est.
42 	 South Africa 	 $      44,330,000,000 	 30 June 2005 est.
43 	 Czech Republic 	 $      43,200,000,000 	 30 June 2005 est.
