This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
136 	 Ukraine 	     69.68 	 2005 est.
137 	 Greenland 	     69.65 	 2005 est.
138 	 Indonesia 	     69.57 	 2005 est.
139 	 Fiji 	     69.53 	 2005 est.
140 	 Peru 	     69.53 	 2005 est.
141 	 Tonga 	     69.53 	 2005 est.
142 	 Honduras 	     69.30 	 2005 est.
143 	 Guatemala 	     69.06 	 2005 est.
144 	 Suriname 	     68.96 	 2005 est.
145 	 Belarus 	     68.72 	 2005 est.
146 	 Iraq 	     68.70 	 2005 est.
147 	 Belize 	     68.44 	 2005 est.
148 	 Kyrgyzstan 	     68.16 	 2005 est.
149 	 Tuvalu 	     68.01 	 2005 est.
150 	 Russia 	     67.10 	 2005 est.
151 	 Sao Tome and Principe 	     66.99 	 2005 est.
152 	 Trinidad and Tobago 	     66.73 	 2005 est.
153 	 Kazakhstan 	     66.55 	 2005 est.
154 	 East Timor 	     65.90 	 2005 est.
155 	 Bahamas, The 	     65.54 	 2005 est.
156 	 Bolivia 	     65.50 	 2005 est.
157 	 Guyana 	     65.50 	 2005 est.
158 	 Moldova 	     65.18 	 2005 est.
159 	 Papua New Guinea 	     64.93 	 2005 est.
160 	 Tajikistan 	     64.56 	 2005 est.
161 	 Grenada 	     64.53 	 2005 est.
162 	 Mongolia 	     64.52 	 2005 est.
163 	 India 	     64.35 	 2005 est.
164 	 World 	     64.33 	 2005 est.
165 	 Uzbekistan 	     64.19 	 2005 est.
166 	 Maldives 	     64.06 	 2005 est.
167 	 Azerbaijan 	     63.35 	 2005 est.
168 	 Pakistan 	     63.00 	 2005 est.
169 	 Nauru 	     62.73 	 2005 est.
170 	 Vanuatu 	     62.49 	 2005 est.
171 	 Bangladesh 	     62.08 	 2005 est.
172 	 Comoros 	     61.96 	 2005 est.
173 	 Yemen 	     61.75 	 2005 est.
174 	 Kiribati 	     61.71 	 2005 est.
175 	 Mayotte 	     61.39 	 2005 est.
176 	 Turkmenistan 	     61.39 	 2005 est.
177 	 Burma 	     60.70 	 2005 est.
178 	 Nepal 	     59.80 	 2005 est.
179 	 Cambodia 	     58.92 	 2005 est.
180 	 Senegal 	     58.90 	 2005 est.
181 	 Sudan 	     58.54 	 2005 est.
182 	 Eritrea 	     58.47 	 2005 est.
183 	 Ghana 	     58.47 	 2005 est.
184 	 Togo 	     57.01 	 2005 est.
185 	 Madagascar 	     56.95 	 2005 est.
186 	 Laos 	     55.08 	 2005 est.
187 	 Gabon 	     55.02 	 2005 est.
188 	 Bhutan 	     54.39 	 2005 est.
189 	 Gambia, The 	     53.75 	 2005 est.
190 	 Haiti 	     52.92 	 2005 est.
191 	 Mauritania 	     52.73 	 2005 est.
192 	 Benin 	     52.66 	 2005 est.
193 	 Congo, Republic of the 	     52.26 	 2005 est.
194 	 Uganda 	     51.59 	 2005 est.
195 	 Congo, Democratic Republic of the 	     51.10 	 2005 est.
196 	 Cameroon 	     50.89 	 2005 est.
197 	 Burundi 	     50.29 	 2005 est.
198 	 Equatorial Guinea 	     49.70 	 2005 est.
199 	 Guinea 	     49.36 	 2005 est.
200 	 Ethiopia 	     48.83 	 2005 est.
201 	 Mali 	     48.64 	 2005 est.
202 	 Cote d'Ivoire 	     48.62 	 2005 est.
203 	 Burkina Faso 	     48.45 	 2005 est.
204 	 Somalia 	     48.09 	 2005 est.
205 	 Kenya 	     47.99 	 2005 est.
206 	 Chad 	     47.18 	 2005 est.
207 	 Rwanda 	     46.96 	 2005 est.
208 	 Nigeria 	     46.74 	 2005 est.
209 	 Guinea-Bissau 	     46.61 	 2005 est.
210 	 Tanzania 	     45.24 	 2005 est.
211 	 Namibia 	     43.93 	 2005 est.
212 	 Niger 	     43.50 	 2005 est.
213 	 Central African Republic 	     43.39 	 2005 est.
214 	 South Africa 	     43.27 	 2005 est.
215 	 Djibouti 	     43.10 	 2005 est.
216 	 Afghanistan 	     42.90 	 2005 est.
217 	 Malawi 	     41.43 	 2005 est.
218 	 Mozambique 	     40.32 	 2005 est.
219 	 Sierra Leone 	     39.87 	 2005 est.
220 	 Zambia 	     39.70 	 2005 est.
221 	 Zimbabwe 	     39.13 	 2005 est.
222 	 Liberia 	     38.89 	 2005 est.
223 	 Angola 	     38.43 	 2005 est.
224 	 Lesotho 	     34.47 	 2005 est.
225 	 Botswana 	     33.87 	 2005 est.
226 	 Swaziland 	     33.22 	 2005 est.

 This file was last updated on 10 January, 2006
