This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
1 	 World 	 $    9,470,000,000,000 	 2004 est.
2 	 United States 	 $    1,727,000,000,000 	 2005 est.
3 	 European Union 	 $    1,402,000,000,000 	 2004
4 	 Germany 	 $     801,000,000,000 	 2005 est.
5 	 China 	 $     631,800,000,000 	 2005 est.
6 	 United Kingdom 	 $     483,700,000,000 	 2005 est.
7 	 France 	 $     473,300,000,000 	 2005 est.
8 	 Japan 	 $     451,100,000,000 	 2005 est.
9 	 Italy 	 $     369,200,000,000 	 2005 est.
10 	 Netherlands 	 $     326,600,000,000 	 2005 est.
11 	 Canada 	 $     317,700,000,000 	 2005 est.
12 	 Hong Kong 	 $     291,600,000,000 	 2005 est.
13 	 Spain 	 $     271,800,000,000 	 2005 est.
14 	 Belgium 	 $     264,500,000,000 	 2005 est.
15 	 Korea, South 	 $     248,400,000,000 	 2005 est.
16 	 Mexico 	 $     223,700,000,000 	 2005 est.
17 	 Singapore 	 $     187,500,000,000 	 2005 est.
18 	 Taiwan 	 $     172,900,000,000 	 2005 est.
19 	 Switzerland 	 $     135,000,000,000 	 2005 est.
20 	 Russia 	 $     125,000,000,000 	 2005 est.
21 	 Australia 	 $     119,600,000,000 	 2005 est.
22 	 Austria 	 $     118,800,000,000 	 2005 est.
23 	 Malaysia 	 $     118,700,000,000 	 2005 est.
24 	 India 	 $     113,100,000,000 	 2005 est.
25 	 Thailand 	 $     107,000,000,000 	 2005 est.
26 	 Sweden 	 $     104,400,000,000 	 2005 est.
27 	 Turkey 	 $     101,200,000,000 	 2005 est.
28 	 Poland 	 $      95,670,000,000 	 2005 est.
29 	 Brazil 	 $      78,020,000,000 	 2005 est.
30 	 Czech Republic 	 $      76,590,000,000 	 2005 est.
31 	 Denmark 	 $      74,690,000,000 	 2005 est.
32 	 Ireland 	 $      65,470,000,000 	 2005 est.
33 	 Hungary 	 $      64,830,000,000 	 2005 est.
34 	 Indonesia 	 $      62,020,000,000 	 2005 est.
35 	 Portugal 	 $      60,350,000,000 	 2005 est.
36 	 United Arab Emirates 	 $      60,150,000,000 	 2005 est.
37 	 Norway 	 $      58,120,000,000 	 2005 est.
38 	 Finland 	 $      56,450,000,000 	 2005 est.
39 	 South Africa 	 $      52,970,000,000 	 2005 est.
40 	 Greece 	 $      48,200,000,000 	 2005 est.
41 	 Saudi Arabia 	 $      44,930,000,000 	 2005 est.
42 	 Israel 	 $      43,190,000,000 	 2005 est.
43 	 Philippines 	 $      42,660,000,000 	 2005 est.
44 	 Iran 	 $      42,500,000,000 	 2005 est.
45 	 Romania 	 $      38,150,000,000 	 2005 est.
46 	 Ukraine 	 $      37,180,000,000 	 2005 est.
47 	 Slovakia 	 $      34,480,000,000 	 2005 est.
48 	 Vietnam 	 $      34,440,000,000 	 2005 est.
49 	 Chile 	 $      30,090,000,000 	 2005 est.
50 	 Puerto Rico 	 $      29,100,000,000 	 2001
51 	 Argentina 	 $      28,800,000,000 	 2005 est.
52 	 Nigeria 	 $      25,950,000,000 	 2005 est.
53 	 Venezuela 	 $      24,630,000,000 	 2005 est.
54 	 New Zealand 	 $      24,570,000,000 	 2005 est.
55 	 Egypt 	 $      24,100,000,000 	 2005 est.
56 	 Algeria 	 $      22,530,000,000 	 2005 est.
57 	 Pakistan 	 $      21,260,000,000 	 2005 est.
58 	 Colombia 	 $      20,420,000,000 	 2005 est.
59 	 Slovenia 	 $      19,620,000,000 	 2005 est.
60 	 Iraq 	 $      19,570,000,000 	 2004
61 	 Croatia 	 $      18,930,000,000 	 2005 est.
62 	 Luxembourg 	 $      18,740,000,000 	 2005 est.
63 	 Morocco 	 $      18,150,000,000 	 2005 est.
64 	 Kazakhstan 	 $      17,510,000,000 	 2005 est.
65 	 Belarus 	 $      16,940,000,000 	 2005 est.
66 	 Bulgaria 	 $      15,900,000,000 	 2005 est.
67 	 Lithuania 	 $      13,330,000,000 	 2005 est.
68 	 Bangladesh 	 $      12,970,000,000 	 2005 est.
69 	 Tunisia 	 $      12,860,000,000 	 2005 est.
70 	 Kuwait 	 $      12,230,000,000 	 2005 est.
71 	 Peru 	 $      12,150,000,000 	 2005 est.
72 	 Serbia and Montenegro 	 $      11,940,000,000 	 2005 est.
73 	 Libya 	 $      10,820,000,000 	 2005 est.
74 	 Dominican Republic 	 $       9,747,000,000 	 2005 est.
75 	 Costa Rica 	 $       9,690,000,000 	 2005 est.
76 	 Estonia 	 $       9,189,000,000 	 2005 est.
77 	 Lebanon 	 $       8,855,000,000 	 2005 est.
78 	 Panama 	 $       8,734,000,000 	 2005 est.
79 	 Oman 	 $       8,709,000,000 	 2005 est.
80 	 Jordan 	 $       8,681,000,000 	 2005 est.
81 	 Latvia 	 $       8,559,000,000 	 2005 est.
82 	 Ecuador 	 $       8,436,000,000 	 2005 est.
83 	 Sri Lanka 	 $       8,370,000,000 	 2005 est.
84 	 Angola 	 $       8,165,000,000 	 2005 est.
85 	 Bermuda 	 $       8,078,000,000 	 2004 est.
86 	 Bahrain 	 $       7,830,000,000 	 2005 est.
87 	 Guatemala 	 $       7,744,000,000 	 2005 est.
88 	 Cuba 	 $       6,916,000,000 	 2005 est.
89 	 Bosnia and Herzegovina 	 $       6,800,000,000 	 2005 est.
90 	 Qatar 	 $       6,706,000,000 	 2005 est.
91 	 El Salvador 	 $       6,678,000,000 	 2005 est.
92 	 Trinidad and Tobago 	 $       6,011,000,000 	 2005 est.
93 	 Syria 	 $       5,973,000,000 	 2005 est.
94 	 Bahamas, The 	 $       5,806,000,000 	 2004 est.
95 	 Cyprus 	 $       5,552,000,000 	 2005 est.
96 	 Kenya 	 $       5,126,000,000 	 2005 est.
97 	 Sudan 	 $       5,028,000,000 	 2005 est.
98 	 Liberia 	 $       4,839,000,000 	 2004 est.
99 	 Cote d'Ivoire 	 $       4,759,000,000 	 2005 est.
100 	 Azerbaijan 	 $       4,656,000,000 	 2005 est.
101 	 Iceland 	 $       4,582,000,000 	 2005 est.
102 	 Netherlands Antilles 	 $       4,383,000,000 	 2004 est.
103 	 Ghana 	 $       4,273,000,000 	 2005 est.
104 	 Yemen 	 $       4,190,000,000 	 2005 est.
105 	 Turkmenistan 	 $       4,175,000,000 	 2005 est.
106 	 Honduras 	 $       4,161,000,000 	 2005 est.
107 	 Jamaica 	 $       4,144,000,000 	 2005 est.
108 	 Uzbekistan 	 $       4,140,000,000 	 2005 est.
109 	 Afghanistan 	 $       3,870,000,000 	 2005 est.
110 	 Malta 	 $       3,859,000,000 	 2005 est.
111 	 Paraguay 	 $       3,832,000,000 	 2005 est.
112 	 Uruguay 	 $       3,540,000,000 	 2005 est.
113 	 Cambodia 	 $       3,538,000,000 	 2005 est.
114 	 Macau 	 $       3,478,000,000 	 2004
115 	 Botswana 	 $       3,370,000,000 	 2005 est.
116 	 Macedonia 	 $       3,196,000,000 	 2005 est.
117 	 Gibraltar 	 $       2,967,000,000 	 2004 est.
118 	 Nicaragua 	 $       2,952,000,000 	 2005 est.
119 	 Korea, North 	 $       2,819,000,000 	 2004 est.
120 	 Ethiopia 	 $       2,722,000,000 	 2005 est.
121 	 Cameroon 	 $       2,514,000,000 	 2005 est.
122 	 Mauritius 	 $       2,507,000,000 	 2005 est.
123 	 Georgia 	 $       2,500,000,000 	 2005 est.
124 	 Reunion 	 $       2,500,000,000 	 1997
125 	 Albania 	 $       2,473,000,000 	 2005 est.
126 	 Senegal 	 $       2,405,000,000 	 2005 est.
127 	 Tanzania 	 $       2,391,000,000 	 2005 est.
128 	 Namibia 	 $       2,350,000,000 	 2005 est.
129 	 Moldova 	 $       2,230,000,000 	 2005 est.
130 	 Burma 	 $       2,183,000,000 	 2005 est.
131 	 Swaziland 	 $       2,149,000,000 	 2005 est.
132 	 Zimbabwe 	 $       2,059,000,000 	 2005 est.
133 	 Mozambique 	 $       2,041,000,000 	 2005 est.
134 	 Martinique 	 $       2,000,000,000 	 1997
135 	 Gaza Strip 	 $       1,952,000,000 	 2003
136 	 West Bank 	 $       1,952,000,000 	 2003
137 	 Zambia 	 $       1,934,000,000 	 2005 est.
138 	 Equatorial Guinea 	 $       1,864,000,000 	 2005 est.
139 	 Mali 	 $       1,858,000,000 	 2004 est.
140 	 Bolivia 	 $       1,845,000,000 	 2005 est.
141 	 Guadeloupe 	 $       1,700,000,000 	 1997
142 	 Nepal 	 $       1,696,000,000 	 2004 est.
143 	 Papua New Guinea 	 $       1,651,000,000 	 2005 est.
144 	 Brunei 	 $       1,641,000,000 	 2004 est.
145 	 New Caledonia 	 $       1,636,000,000 	 2004 est.
146 	 Uganda 	 $       1,608,000,000 	 2005 est.
147 	 Gabon 	 $       1,533,000,000 	 2005 est.
148 	 Armenia 	 $       1,500,000,000 	 2005 est.
149 	 Barbados 	 $       1,476,000,000 	 2004 est.
150 	 Haiti 	 $       1,471,000,000 	 2005 est.
151 	 French Polynesia 	 $       1,437,000,000 	 2004 est.
152 	 Madagascar 	 $       1,400,000,000 	 2005 est.
