This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Total fertility rate(children born/woman) 	 Date of Information
1 	 Niger 	      7.55 	 2005 est.
2 	 Mali 	      7.47 	 2005 est.
3 	 Somalia 	      6.84 	 2005 est.
4 	 Afghanistan 	      6.75 	 2005 est.
5 	 Uganda 	      6.74 	 2005 est.
6 	 Yemen 	      6.67 	 2005 est.
7 	 Burundi 	      6.63 	 2005 est.
8 	 Congo, Democratic Republic of the 	      6.54 	 2005 est.
9 	 Burkina Faso 	      6.54 	 2005 est.
10 	 Angola 	      6.42 	 2005 est.
11 	 Chad 	      6.32 	 2005 est.
12 	 Sierra Leone 	      6.15 	 2005 est.
13 	 Congo, Republic of the 	      6.14 	 2005 est.
14 	 Liberia 	      6.09 	 2005 est.
15 	 Malawi 	      5.98 	 2005 est.
16 	 Mauritania 	      5.94 	 2005 est.
17 	 Gaza Strip 	      5.91 	 2005 est.
18 	 Mayotte 	      5.89 	 2005 est.
19 	 Oman 	      5.84 	 2005 est.
20 	 Guinea 	      5.83 	 2005 est.
21 	 Sao Tome and Principe 	      5.71 	 2005 est.
22 	 Madagascar 	      5.66 	 2005 est.
23 	 Nigeria 	      5.53 	 2005 est.
24 	 Rwanda 	      5.49 	 2005 est.
25 	 Zambia 	      5.47 	 2005 est.
26 	 Djibouti 	      5.40 	 2005 est.
27 	 Gambia, The 	      5.38 	 2005 est.
28 	 Ethiopia 	      5.33 	 2005 est.
29 	 Benin 	      5.32 	 2005 est.
30 	 Eritrea 	      5.20 	 2005 est.
31 	 Comoros 	      5.09 	 2005 est.
32 	 Tanzania 	      5.06 	 2005 est.
33 	 Haiti 	      5.02 	 2005 est.
34 	 Maldives 	      5.02 	 2005 est.
35 	 Togo 	      5.01 	 2005 est.
36 	 Kenya 	      4.96 	 2005 est.
37 	 Guinea-Bissau 	      4.93 	 2005 est.
38 	 Sudan 	      4.85 	 2005 est.
39 	 Bhutan 	      4.81 	 2005 est.
40 	 Gabon 	      4.77 	 2005 est.
41 	 Laos 	      4.77 	 2005 est.
42 	 Mozambique 	      4.70 	 2005 est.
43 	 Equatorial Guinea 	      4.62 	 2005 est.
44 	 Cote d'Ivoire 	      4.58 	 2005 est.
45 	 Central African Republic 	      4.50 	 2005 est.
46 	 Senegal 	      4.50 	 2005 est.
47 	 Cameroon 	      4.47 	 2005 est.
48 	 West Bank 	      4.40 	 2005 est.
49 	 Iraq 	      4.28 	 2005 est.
50 	 Kiribati 	      4.20 	 2005 est.
51 	 Nepal 	      4.19 	 2005 est.
52 	 Pakistan 	      4.14 	 2005 est.
53 	 Ghana 	      4.10 	 2005 est.
54 	 Saudi Arabia 	      4.05 	 2005 est.
55 	 Tajikistan 	      4.05 	 2005 est.
56 	 Solomon Islands 	      4.04 	 2005 est.
57 	 Papua New Guinea 	      3.96 	 2005 est.
58 	 Guatemala 	      3.93 	 2005 est.
59 	 Paraguay 	      3.93 	 2005 est.
60 	 Marshall Islands 	      3.93 	 2005 est.
61 	 Honduras 	      3.69 	 2005 est.
62 	 Belize 	      3.68 	 2005 est.
63 	 Swaziland 	      3.62 	 2005 est.
64 	 East Timor 	      3.61 	 2005 est.
65 	 Syria 	      3.50 	 2005 est.
66 	 Cape Verde 	      3.48 	 2005 est.
67 	 Cambodia 	      3.44 	 2005 est.
68 	 Turkmenistan 	      3.41 	 2005 est.
69 	 Lesotho 	      3.35 	 2005 est.
70 	 Libya 	      3.34 	 2005 est.
71 	 American Samoa 	      3.25 	 2005 est.
72 	 Micronesia, Federated States of 	      3.25 	 2005 est.
73 	 Nauru 	      3.19 	 2005 est.
74 	 Namibia 	      3.18 	 2005 est.
75 	 Zimbabwe 	      3.18 	 2005 est.
76 	 El Salvador 	      3.16 	 2005 est.
77 	 Philippines 	      3.16 	 2005 est.
78 	 Bangladesh 	      3.13 	 2005 est.
79 	 Turks and Caicos Islands 	      3.08 	 2005 est.
80 	 Malaysia 	      3.07 	 2005 est.
81 	 French Guiana 	      3.01 	 2005 est.
82 	 Samoa 	      3.01 	 2005 est.
83 	 Tonga 	      3.00 	 2005 est.
84 	 Tuvalu 	      3.00 	 2005 est.
85 	 Kuwait 	      2.97 	 2005 est.
86 	 United Arab Emirates 	      2.94 	 2005 est.
87 	 Uzbekistan 	      2.94 	 2005 est.
88 	 Bolivia 	      2.94 	 2005 est.
89 	 Egypt 	      2.88 	 2005 est.
90 	 Qatar 	      2.87 	 2005 est.
91 	 Dominican Republic 	      2.86 	 2005 est.
92 	 Botswana 	      2.85 	 2005 est.
93 	 Nicaragua 	      2.81 	 2005 est.
94 	 India 	      2.78 	 2005 est.
95 	 Vanuatu 	      2.77 	 2005 est.
