This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - production(kWh) 	 Date of Information
1 	 World 	  17,420,000,000,000 	 2005 est.
2 	 United States 	   4,062,000,000,000 	 2005
3 	 European Union 	   3,007,000,000,000 	 2004 est.
4 	 China 	   2,372,000,000,000 	 2005
5 	 Japan 	   1,025,000,000,000 	 2005
6 	 Russia 	    904,400,000,000 	 2005
7 	 India 	    661,600,000,000 	 2005
8 	 Canada 	    609,600,000,000 	 2005
9 	 Germany 	    579,400,000,000 	 2005
10 	 France 	    543,600,000,000 	 2005
11 	 Brazil 	    396,400,000,000 	 2005
12 	 United Kingdom 	    372,600,000,000 	 2005
13 	 Korea, South 	    366,200,000,000 	 2005
14 	 Italy 	    278,500,000,000 	 2005
15 	 Spain 	    270,300,000,000 	 2005
16 	 Australia 	    236,700,000,000 	 2005
17 	 South Africa 	    228,300,000,000 	 2005
18 	 Mexico 	    222,400,000,000 	 2005
19 	 Taiwan 	    210,300,000,000 	 2005
20 	 Ukraine 	    192,100,000,000 	 2006
21 	 Iran 	    170,400,000,000 	 2005
22 	 Saudi Arabia 	    165,600,000,000 	 2005
23 	 Turkey 	    154,200,000,000 	 2005
24 	 Sweden 	    153,200,000,000 	 2005
25 	 Poland 	    146,200,000,000 	 2005
26 	 Norway 	    135,800,000,000 	 2005
27 	 Thailand 	    124,600,000,000 	 2005
28 	 Indonesia 	    120,300,000,000 	 2005 est.
29 	 Egypt 	    102,500,000,000 	 2005
30 	 Argentina 	    101,100,000,000 	 2005
31 	 Venezuela 	     99,200,000,000 	 2005
32 	 Netherlands 	     94,340,000,000 	 2005
33 	 Pakistan 	     89,820,000,000 	 2005
34 	 Malaysia 	     82,360,000,000 	 2005
35 	 Belgium 	     80,840,000,000 	 2005
36 	 Czech Republic 	     77,380,000,000 	 2005
37 	 Finland 	     67,090,000,000 	 2005
38 	 Kazakhstan 	     64,230,000,000 	 2005 est.
39 	 Austria 	     61,020,000,000 	 2005 est.
40 	 United Arab Emirates 	     57,060,000,000 	 2005
41 	 Romania 	     56,910,000,000 	 2005
42 	 Greece 	     56,130,000,000 	 2005
43 	 Switzerland 	     56,100,000,000 	 2005
44 	 Philippines 	     53,670,000,000 	 2005
45 	 Vietnam 	     51,330,000,000 	 2005
46 	 Paraguay 	     50,660,000,000 	 2005
47 	 Colombia 	     50,470,000,000 	 2005
48 	 Uzbekistan 	     49,000,000,000 	 2006 est.
49 	 Chile 	     47,600,000,000 	 2006
50 	 Israel 	     46,850,000,000 	 2005
51 	 Bulgaria 	     45,700,000,000 	 2006
52 	 Portugal 	     43,690,000,000 	 2005
53 	 Denmark 	     43,350,000,000 	 2006
54 	 New Zealand 	     41,590,000,000 	 2005
55 	 Kuwait 	     41,110,000,000 	 2005
56 	 Hong Kong 	     36,140,000,000 	 2005
57 	 Singapore 	     35,920,000,000 	 2005
58 	 Iraq 	     34,600,000,000 	 2006
59 	 Serbia 	     33,870,000,000 	 2004
60 	 Hungary 	     33,690,000,000 	 2005
61 	 Syria 	     33,010,000,000 	 2005 est.
62 	 Algeria 	     31,910,000,000 	 2005 est.
63 	 Slovakia 	     29,890,000,000 	 2005
64 	 Belarus 	     29,080,000,000 	 2005
