This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - per capita 	 Date of Information
1 	 Luxembourg 	 $            62,700 	 2005 est.
2 	 Equatorial Guinea 	 $            50,200 	 2005 est.
3 	 Norway 	 $            42,400 	 2005 est.
4 	 United States 	 $            41,800 	 2005 est.
5 	 Guernsey 	 $            40,000 	 2003 est.
6 	 Jersey 	 $            40,000 	 2003 est.
7 	 British Virgin Islands 	 $            38,500 	 2004 est.
8 	 Hong Kong 	 $            36,800 	 2005 est.
9 	 Bermuda 	 $            36,000 	 2003 est.
10 	 Switzerland 	 $            35,000 	 2005 est.
11 	 Iceland 	 $            34,600 	 2005 est.
12 	 San Marino 	 $            34,600 	 2001 est.
13 	 Ireland 	 $            34,100 	 2005 est.
14 	 Denmark 	 $            33,500 	 2005 est.
15 	 Austria 	 $            32,900 	 2005 est.
16 	 Canada 	 $            32,800 	 2005 est.
17 	 Cayman Islands 	 $            32,300 	 2004 est.
18 	 Australia 	 $            32,000 	 2005 est.
19 	 Belgium 	 $            31,800 	 2005 est.
20 	 United Kingdom 	 $            30,900 	 2005 est.
21 	 Netherlands 	 $            30,500 	 2005 est.
22 	 Japan 	 $            30,400 	 2005 est.
23 	 Finland 	 $            30,300 	 2005 est.
24 	 France 	 $            29,900 	 2005 est.
25 	 Germany 	 $            29,700 	 2005 est.
26 	 Singapore 	 $            29,700 	 2005 est.
27 	 Sweden 	 $            29,600 	 2005 est.
28 	 United Arab Emirates 	 $            29,100 	 2005 est.
29 	 Isle of Man 	 $            28,500 	 2003 est.
30 	 Italy 	 $            28,300 	 2005 est.
31 	 European Union 	 $            28,100 	 2005 est.
32 	 Aruba 	 $            28,000 	 2002 est.
33 	 Gibraltar 	 $            27,900 	 2000 est.
34 	 Monaco 	 $            27,000 	 2000 est.
35 	 Andorra 	 $            26,800 	 2003 est.
36 	 Taiwan 	 $            26,700 	 2005 est.
37 	 Qatar 	 $            26,000 	 2005 est.
38 	 Spain 	 $            25,100 	 2005 est.
39 	 Falkland Islands (Islas Malvinas) 	 $            25,000 	 2002 est.
40 	 Liechtenstein 	 $            25,000 	 1999 est.
41 	 New Zealand 	 $            24,100 	 2005 est.
42 	 Brunei 	 $            23,600 	 2003 est.
43 	 Greece 	 $            22,800 	 2005 est.
44 	 Israel 	 $            22,200 	 2005 est.
45 	 Kuwait 	 $            22,100 	 2005 est.
46 	 Faroe Islands 	 $            22,000 	 2001 est.
47 	 Cyprus 	 $            21,600 	 
48 	 Guam 	 $            21,000 	 2000 est.
49 	 Slovenia 	 $            20,900 	 2005 est.
50 	 Bahrain 	 $            20,500 	 2005 est.
51 	 Korea, South 	 $            20,300 	 2005 est.
52 	 Greenland 	 $            20,000 	 2001 est.
53 	 Macau 	 $            19,400 	 2003
54 	 Bahamas, The 	 $            18,800 	 2005 est.
55 	 Malta 	 $            18,800 	 2005 est.
56 	 Puerto Rico 	 $            18,500 	 2005 est.
57 	 Portugal 	 $            18,400 	 2005 est.
58 	 Czech Republic 	 $            18,100 	 2005 est.
59 	 French Polynesia 	 $            17,500 	 2003 est.
60 	 Barbados 	 $            17,300 	 2005 est.
61 	 Virgin Islands 	 $            17,200 	 2002 est.
62 	 Estonia 	 $            16,400 	 2005 est.
63 	 Hungary 	 $            15,900 	 2005 est.
64 	 Slovakia 	 $            15,700 	 2005 est.
65 	 New Caledonia 	 $            15,000 	 2003 est.
66 	 Martinique 	 $            14,400 	 2003 est.
67 	 Lithuania 	 $            13,700 	 2005 est.
68 	 Argentina 	 $            13,600 	 2005 est.
