This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures - percent of GDP(%) 	 Date of Information
1 	 Jordan 	     14.60 	 2004
2 	 Eritrea 	     13.40 	 2004
3 	 Oman 	     11.40 	 2003
4 	 Angola 	     10.60 	 2004
5 	 Qatar 	     10.00 	 
6 	 Saudi Arabia 	     10.00 	 2002
7 	 Israel 	      8.70 	 FY02
8 	 Yemen 	      7.80 	 2003
9 	 Armenia 	      6.50 	 FY01
10 	 Bahrain 	      6.30 	 2004
11 	 Burundi 	      6.00 	 2004
12 	 Macedonia 	      6.00 	 
13 	 Syria 	      5.90 	 
14 	 Maldives 	      5.50 	 2004
15 	 Kuwait 	      5.30 	 2004
16 	 Turkey 	      5.30 	 2003
17 	 Brunei 	      5.10 	 2004
18 	 Morocco 	      5.00 	 2004
19 	 Pakistan 	      4.90 	 2004
20 	 Singapore 	      4.90 	 
21 	 Ethiopia 	      4.60 	 2004
22 	 Bosnia and Herzegovina 	      4.50 	 
23 	 Djibouti 	      4.40 	 2004
24 	 China 	      4.30 	 2004
25 	 Greece 	      4.30 	 2003
26 	 Zimbabwe 	      4.30 	 2004
27 	 Botswana 	      3.90 	 2004
28 	 Libya 	      3.90 	 
29 	 Tajikistan 	      3.90 	 FY01
30 	 Chile 	      3.80 	 2004
31 	 Cyprus 	      3.80 	 
32 	 Colombia 	      3.40 	 FY01
33 	 Turkmenistan 	      3.40 	 
34 	 Egypt 	      3.40 	 2004
35 	 Iran 	      3.30 	 2003 est.
36 	 United States 	      3.30 	 February 2004
37 	 Algeria 	      3.20 	 2004
38 	 Rwanda 	      3.20 	 2004
39 	 United Arab Emirates 	      3.10 	 
40 	 Lebanon 	      3.10 	 2004
41 	 Guinea-Bissau 	      3.10 	 2004
42 	 Namibia 	      3.10 	 2004
43 	 Cambodia 	      3.00 	 
44 	 Comoros 	      3.00 	 2004
45 	 Sudan 	      3.00 	 2004
46 	 Indonesia 	      3.00 	 2004
47 	 India 	      2.93 	 2005/06
48 	 Congo, Republic of the 	      2.80 	 2004
49 	 Australia 	      2.70 	 2004
50 	 Afghanistan 	      2.60 	 2004
