This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 HIV/AIDS - adult prevalence rate(%) 	 Date of Information
51 	 Burma 	      1.20 	 2003 est.
52 	 Niger 	      1.20 	 2003 est.
53 	 Jamaica 	      1.20 	 2003 est.
54 	 Gambia, The 	      1.20 	 2003 est.
55 	 Estonia 	      1.10 	 2001 est.
56 	 Russia 	      1.10 	 2001 est.
57 	 Guatemala 	      1.10 	 2003 est.
58 	 Somalia 	      1.00 	 2001 est.
59 	 India 	      0.90 	 2001 est.
60 	 Panama 	      0.90 	 2003 est.
61 	 Senegal 	      0.80 	 2003 est.
62 	 Argentina 	      0.70 	 2001 est.
63 	 Brazil 	      0.70 	 2003 est.
64 	 Venezuela 	      0.70 	 2001 est.
65 	 Spain 	      0.70 	 2001 est.
66 	 El Salvador 	      0.70 	 2003 est.
67 	 Colombia 	      0.70 	 2003 est.
68 	 Costa Rica 	      0.60 	 2003 est.
69 	 Mauritania 	      0.60 	 2003 est.
70 	 Latvia 	      0.60 	 2001 est.
71 	 United States 	      0.60 	 2003 est.
72 	 Papua New Guinea 	      0.60 	 2003 est.
73 	 Italy 	      0.50 	 2001 est.
74 	 Paraguay 	      0.50 	 2003 est.
75 	 Peru 	      0.50 	 2003 est.
76 	 Nepal 	      0.50 	 2001 est.
77 	 France 	      0.40 	 2003 est.
78 	 Vietnam 	      0.40 	 2003 est.
79 	 Switzerland 	      0.40 	 2001 est.
80 	 Portugal 	      0.40 	 2001 est.
81 	 Malaysia 	      0.40 	 2003 est.
82 	 Austria 	      0.30 	 2003 est.
83 	 Ecuador 	      0.30 	 2003 est.
84 	 Belarus 	      0.30 	 2001 est.
85 	 Uruguay 	      0.30 	 2001 est.
86 	 Chile 	      0.30 	 2003 est.
87 	 Mexico 	      0.30 	 2003 est.
88 	 Libya 	      0.30 	 2001 est.
89 	 Canada 	      0.30 	 2003 est.
90 	 Bermuda 	      0.30 	 2005
91 	 Bahrain 	      0.20 	 2001 est.
92 	 Belgium 	      0.20 	 2003 est.
93 	 United Kingdom 	      0.20 	 2001 est.
94 	 Singapore 	      0.20 	 2003 est.
95 	 Nicaragua 	      0.20 	 2003 est.
96 	 Netherlands 	      0.20 	 2001 est.
97 	 Malta 	      0.20 	 2001 est.
98 	 Moldova 	      0.20 	 2001 est.
99 	 Luxembourg 	      0.20 	 2001 est.
100 	 Kazakhstan 	      0.20 	 2001 est.
101 	 Iran 	      0.20 	 2005 est.
102 	 Iceland 	      0.20 	 2001 est.
103 	 Greece 	      0.20 	 2001 est.
104 	 Denmark 	      0.20 	 2003 est.
105 	 United Arab Emirates 	      0.18 	 2001 est.
106 	 Comoros 	      0.12 	 2001 est.
107 	 Kuwait 	      0.12 	 2001 est.
108 	 Algeria 	      0.10 	 2001 est.
109 	 Australia 	      0.10 	 2003 est.
110 	 Bangladesh 	      0.10 	 2001 est.
111 	 Bolivia 	      0.10 	 2003 est.
112 	 Bulgaria 	      0.10 	 2001 est.
113 	 Sri Lanka 	      0.10 	 2001 est.
114 	 Mauritius 	      0.10 	 2001 est.
115 	 Morocco 	      0.10 	 2001 est.
116 	 Georgia 	      0.10 	 2001 est.
117 	 Fiji 	      0.10 	 2003 est.
118 	 Finland 	      0.10 	 2003 est.
119 	 Czech Republic 	      0.10 	 2001 est.
120 	 Ireland 	      0.10 	 2001 est.
121 	 Egypt 	      0.10 	 2001 est.
122 	 Cyprus 	      0.10 	 2003 est.
123 	 Cuba 	      0.10 	 2003 est.
124 	 China 	      0.10 	 2003 est.
125 	 Tajikistan 	      0.10 	 2001 est.
126 	 Syria 	      0.10 	 2001 est.
127 	 Sweden 	      0.10 	 2001 est.
128 	 Slovenia 	      0.10 	 2001 est.
129 	 Philippines 	      0.10 	 2003 est.
130 	 Romania 	      0.10 	 2001 est.
131 	 Poland 	      0.10 	 2001 est.
132 	 Pakistan 	      0.10 	 2001 est.
133 	 Macedonia 	      0.10 	 2001 est.
134 	 Yemen 	      0.10 	 2001 est.
135 	 Uzbekistan 	      0.10 	 2001 est.
136 	 Turkmenistan 	      0.10 	 2004 est.
137 	 Turkey 	      0.10 	 2001 est.
138 	 Tunisia 	      0.10 	 2005 est.
139 	 Mongolia 	      0.10 	 2003 est.
140 	 Slovakia 	      0.10 	 2001 est.
141 	 Lithuania 	      0.10 	 2001 est.
142 	 Lebanon 	      0.10 	 2001 est.
143 	 Laos 	      0.10 	 2003 est.
144 	 Korea, South 	      0.10 	 2003 est.
145 	 Kyrgyzstan 	      0.10 	 2001 est.
146 	 Jordan 	      0.10 	 2001 est.
147 	 New Zealand 	      0.10 	 2003 est.
148 	 Norway 	      0.10 	 2001 est.
149 	 Maldives 	      0.10 	 2001 est.
150 	 Oman 	      0.10 	 2001 est.
151 	 Japan 	      0.10 	 2003 est.
152 	 Iraq 	      0.10 	 2001 est.
153 	 Israel 	      0.10 	 2001 est.
154 	 Indonesia 	      0.10 	 2003 est.
155 	 Hungary 	      0.10 	 2001 est.
156 	 Croatia 	      0.10 	 2001 est.
157 	 Hong Kong 	      0.10 	 2003 est.
158 	 Germany 	      0.10 	 2001 est.
159 	 Brunei 	      0.10 	 2003 est.
160 	 Bhutan 	      0.10 	 2001 est.
161 	 Bosnia and Herzegovina 	      0.10 	 2001 est.
162 	 Azerbaijan 	      0.10 	 2003 est.
163 	 Armenia 	      0.10 	 2003 est.
164 	 Qatar 	      0.09 	 2001 est.
165 	 Cape Verde 	      0.04 	 
166 	 Afghanistan 	      0.01 	 2001 est.
167 	 Saudi Arabia 	      0.01 	 2001 est.
168 	 Svalbard 	      0.00 	 2001

 This file was last updated on 18 December, 2008
