This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Current account balance 	 Date of Information
1 	 China 	 $     371,800,000,000 	 2007 est.
2 	 Germany 	 $     254,500,000,000 	 2007 est.
3 	 Japan 	 $     210,500,000,000 	 2007 est.
4 	 Saudi Arabia 	 $      86,620,000,000 	 2007 est.
5 	 Russia 	 $      78,310,000,000 	 2007 est.
6 	 Switzerland 	 $      72,350,000,000 	 2007 est.
7 	 Norway 	 $      64,070,000,000 	 2007 est.
8 	 Kuwait 	 $      47,500,000,000 	 2007 est.
9 	 Netherlands 	 $      47,310,000,000 	 2007 est.
10 	 Singapore 	 $      46,390,000,000 	 2007 est.
11 	 Sweden 	 $      37,970,000,000 	 2007 est.
12 	 United Arab Emirates 	 $      34,530,000,000 	 2007 est.
13 	 Taiwan 	 $      32,880,000,000 	 2007 est.
14 	 Algeria 	 $      32,050,000,000 	 2007 est.
15 	 Iran 	 $      28,950,000,000 	 2007 est.
16 	 Malaysia 	 $      28,930,000,000 	 2007 est.
17 	 Hong Kong 	 $      28,040,000,000 	 2007 est.
18 	 Libya 	 $      26,380,000,000 	 2007 est.
19 	 Venezuela 	 $      20,000,000,000 	 2007 est.
20 	 Thailand 	 $      14,920,000,000 	 2007 est.
21 	 Angola 	 $      13,580,000,000 	 2007 est.
22 	 Canada 	 $      12,670,000,000 	 2007 est.
23 	 Austria 	 $      12,030,000,000 	 2007 est.
24 	 Finland 	 $      11,400,000,000 	 2007 est.
25 	 Indonesia 	 $      11,010,000,000 	 2007 est.
26 	 Qatar 	 $      10,410,000,000 	 2007 est.
27 	 Azerbaijan 	 $       9,019,000,000 	 2007 est.
28 	 Argentina 	 $       7,438,000,000 	 2007 est.
29 	 Chile 	 $       7,200,000,000 	 2007 est.
30 	 Brunei 	 $       7,101,000,000 	 2007 est.
31 	 Philippines 	 $       6,351,000,000 	 2007 est.
32 	 Iraq 	 $       6,025,000,000 	 2007 est.
33 	 Korea, South 	 $       5,954,000,000 	 2007 est.
34 	 Trinidad and Tobago 	 $       5,378,000,000 	 2007 est.
35 	 Israel 	 $       5,197,000,000 	 2007 est.
36 	 Luxembourg 	 $       4,921,000,000 	 2007 est.
37 	 Oman 	 $       4,866,000,000 	 2007 est.
38 	 Uzbekistan 	 $       4,615,000,000 	 2007 est.
39 	 Denmark 	 $       4,279,000,000 	 2007 est.
40 	 Belgium 	 $       3,282,000,000 	 2007 est.
41 	 Bahrain 	 $       2,907,000,000 	 2007 est.
42 	 Nigeria 	 $       2,514,000,000 	 2007 est.
43 	 Botswana 	 $       1,973,000,000 	 2007 est.
44 	 Bolivia 	 $       1,796,000,000 	 2007 est.
45 	 Brazil 	 $       1,712,000,000 	 2007 est.
46 	 Turkmenistan 	 $       1,705,000,000 	 2007 est.
