This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Airports 	 Date of Information
180 	 Falkland Islands (Islas Malvinas) 	               5 	 2006
181 	 Maldives 	               5 	 2006
182 	 Qatar 	               5 	 2006
183 	 Netherlands Antilles 	               5 	 2006
184 	 Montenegro 	               5 	 2006
185 	 Guam 	               5 	 2006
186 	 Comoros 	               4 	 2006
187 	 Equatorial Guinea 	               4 	 2006
188 	 Samoa 	               4 	 2006
189 	 Svalbard 	               4 	 2006
190 	 Antigua and Barbuda 	               3 	 2006
191 	 West Bank 	               3 	 2006
192 	 British Virgin Islands 	               3 	 2006
193 	 Palau 	               3 	 2006
194 	 Spratly Islands 	               3 	 2006
195 	 Midway Islands 	               3 	 2006
196 	 Hong Kong 	               3 	 2006
197 	 Grenada 	               3 	 2006
198 	 Bahrain 	               3 	 2006
199 	 Anguilla 	               3 	 2006
200 	 American Samoa 	               3 	 2006
201 	 Cayman Islands 	               3 	 2006
202 	 Bhutan 	               2 	 2006
203 	 Montserrat 	               2 	 2006
204 	 Wallis and Futuna 	               2 	 2006
205 	 Virgin Islands 	               2 	 2006
206 	 Sao Tome and Principe 	               2 	 2006
207 	 Saint Lucia 	               2 	 2006
208 	 Saint Kitts and Nevis 	               2 	 2006
209 	 Saint Pierre and Miquelon 	               2 	 2006
210 	 Reunion 	               2 	 2006
211 	 Martinique 	               2 	 2006
212 	 Brunei 	               2 	 2006
213 	 Dominica 	               2 	 2006
214 	 Gaza Strip 	               2 	 2006
215 	 Luxembourg 	               2 	 2006
216 	 Guernsey 	               2 	 2006
217 	 Aruba 	               1 	 2006
218 	 Barbados 	               1 	 2006
219 	 Wake Island 	               1 	 2006
220 	 Tuvalu 	               1 	 2006
221 	 Tromelin Island 	               1 	 2006
222 	 Saint Helena 	               1 	 2006
223 	 Paracel Islands 	               1 	 2006
224 	 Mayotte 	               1 	 2006
225 	 Macau 	               1 	 2006
226 	 Palmyra Atoll 	               1 	 2006
227 	 Christmas Island 	               1 	 2006
228 	 Juan de Nova Island 	               1 	 2006
229 	 Johnston Atoll 	               1 	 2006
230 	 Jan Mayen 	               1 	 2006
231 	 Jersey 	               1 	 2006
232 	 British Indian Ocean Territory 	               1 	 2006
233 	 Isle of Man 	               1 	 2006
234 	 Nauru 	               1 	 2006
235 	 Norfolk Island 	               1 	 2006
236 	 Niue 	               1 	 2006
237 	 Malta 	               1 	 2006
238 	 Glorioso Islands 	               1 	 2006
239 	 Gibraltar 	               1 	 2006
240 	 Gambia, The 	               1 	 2006
241 	 Faroe Islands 	               1 	 2006
242 	 Europa Island 	               1 	 2006
243 	 Cocos (Keeling) Islands 	               1 	 2006
244 	 Bermuda 	               1 	 2006

 This file was last updated on 19 December, 2006
