This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
1 	 World 	 $   10,330,000,000,000 	 2004 est.
2 	 European Union 	 $    1,318,000,000,000 	 2004
3 	 Germany 	 $    1,016,000,000,000 	 2005 est.
4 	 United States 	 $     927,500,000,000 	 2005 est.
5 	 China 	 $     752,200,000,000 	 2005 est.
6 	 Japan 	 $     550,500,000,000 	 2005 est.
7 	 France 	 $     443,400,000,000 	 2005 est.
8 	 United Kingdom 	 $     372,700,000,000 	 2005 est.
9 	 Italy 	 $     371,900,000,000 	 2005 est.
10 	 Netherlands 	 $     365,100,000,000 	 2005 est.
11 	 Canada 	 $     364,800,000,000 	 2005 est.
12 	 Korea, South 	 $     288,200,000,000 	 2005 est.
13 	 Hong Kong 	 $     286,300,000,000 	 2005 est.
14 	 Belgium 	 $     269,600,000,000 	 2005 est.
15 	 Russia 	 $     245,000,000,000 	 2005 est.
16 	 Mexico 	 $     213,700,000,000 	 2005 est.
17 	 Singapore 	 $     204,800,000,000 	 2005 est.
18 	 Spain 	 $     194,300,000,000 	 2005 est.
19 	 Taiwan 	 $     189,400,000,000 	 2005 est.
20 	 Saudi Arabia 	 $     165,000,000,000 	 2005 est.
21 	 Switzerland 	 $     148,600,000,000 	 2005 est.
22 	 Malaysia 	 $     147,100,000,000 	 2005 est.
23 	 Sweden 	 $     126,600,000,000 	 2005 est.
24 	 Austria 	 $     122,500,000,000 	 2005 est.
25 	 Brazil 	 $     115,100,000,000 	 2005 est.
26 	 Norway 	 $     111,200,000,000 	 2005 est.
27 	 Thailand 	 $     105,800,000,000 	 2005 est.
28 	 United Arab Emirates 	 $     103,100,000,000 	 2005 est.
29 	 Australia 	 $     103,000,000,000 	 2005 est.
30 	 Ireland 	 $     102,000,000,000 	 2005 est.
31 	 Poland 	 $      92,720,000,000 	 2005 est.
32 	 Denmark 	 $      84,950,000,000 	 2005 est.
33 	 Indonesia 	 $      83,640,000,000 	 2005 est.
34 	 Czech Republic 	 $      78,370,000,000 	 2005 est.
35 	 India 	 $      76,230,000,000 	 2005 est.
36 	 Turkey 	 $      72,490,000,000 	 2005 est.
