This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - production(cu m) 	 Date of Information
1 	 World 	   2,674,000,000,000 	 2003 est.
2 	 Russia 	    587,000,000,000 	 2005 est.
3 	 United States 	    539,000,000,000 	 2003 est.
4 	 European Union 	    239,200,000,000 	 2001
5 	 Canada 	    165,800,000,000 	 2003 est.
6 	 United Kingdom 	    102,800,000,000 	 2003 est.
7 	 Indonesia 	     83,400,000,000 	 2005 est.
8 	 Algeria 	     82,400,000,000 	 2003 est.
9 	 Iran 	     79,000,000,000 	 2003 est.
10 	 Norway 	     73,400,000,000 	 2003 est.
11 	 Netherlands 	     73,130,000,000 	 2003 est.
12 	 Saudi Arabia 	     60,060,000,000 	 2003 est.
13 	 Uzbekistan 	     55,800,000,000 	 2004
14 	 Turkmenistan 	     54,600,000,000 	 2004 est.
15 	 Malaysia 	     53,500,000,000 	 2003 est.
16 	 Mexico 	     47,300,000,000 	 2004 est.
17 	 United Arab Emirates 	     44,790,000,000 	 2003 est.
18 	 Argentina 	     41,040,000,000 	 2003 est.
19 	 Australia 	     35,600,000,000 	 2003 est.
20 	 China 	     35,020,000,000 	 2003
21 	 Qatar 	     30,800,000,000 	 2003 est.
22 	 Venezuela 	     29,700,000,000 	 2003 est.
23 	 India 	     27,100,000,000 	 2003 est.
24 	 Egypt 	     27,000,000,000 	 2003 est.
25 	 Trinidad and Tobago 	     24,700,000,000 	 2003 est.
26 	 Pakistan 	     23,800,000,000 	 2003 est.
27 	 Thailand 	     22,280,000,000 	 2003 est.
28 	 Germany 	     22,220,000,000 	 2003 est.
29 	 Ukraine 	     20,300,000,000 	 2004
30 	 Nigeria 	     19,200,000,000 	 2003 est.
31 	 Kazakhstan 	     18,500,000,000 	 2004 est.
32 	 Oman 	     16,500,000,000 	 2003 est.
33 	 Brazil 	     15,790,000,000 	 2005 est.
34 	 Italy 	     13,550,000,000 	 2003 est.
35 	 Romania 	     13,200,000,000 	 2004 est.
36 	 Bangladesh 	     11,900,000,000 	 2003 est.
37 	 Brunei 	     11,400,000,000 	 2003 est.
38 	 Burma 	      9,980,000,000 	 2003 est.
39 	 Bahrain 	      9,650,000,000 	 2003 est.
40 	 Kuwait 	      8,300,000,000 	 2003 est.
41 	 Denmark 	      7,965,000,000 	 2003 est.
42 	 Libya 	      7,000,000,000 	 2003 est.
43 	 Syria 	      6,950,000,000 	 2003 est.
44 	 Bolivia 	      6,720,000,000 	 2003 est.
45 	 Vietnam 	      6,342,000,000 	 2005 est.
46 	 Colombia 	      6,080,000,000 	 2003 est.
47 	 Azerbaijan 	      5,130,000,000 	 2003 est.
48 	 New Zealand 	      4,773,000,000 	 2003 est.
49 	 Poland 	      4,330,000,000 	 2004
50 	 Hungary 	      3,100,000,000 	 2003 est.
51 	 Japan 	      2,814,000,000 	 2003 est.
52 	 South Africa 	      2,350,000,000 	 2003 est.
53 	 Philippines 	      2,300,000,000 	 2003 est.
54 	 Tunisia 	      2,150,000,000 	 2003 est.
55 	 Austria 	      1,960,000,000 	 2004
56 	 Croatia 	      1,850,000,000 	 2003 est.
57 	 France 	      1,566,000,000 	 2003 est.
58 	 Iraq 	      1,500,000,000 	 2003 est.
59 	 Cote d'Ivoire 	      1,300,000,000 	 2003 est.
60 	 Equatorial Guinea 	      1,270,000,000 	 2003 est.
