This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Roadways(km) 	 Date of Information
1 	 World 	        32,345,165 	 2002
2 	 United States 	         6,407,637 	 2004
3 	 European Union 	         4,634,810 	 1999-2000
4 	 India 	         3,851,440 	 2002
5 	 China 	         1,809,829 	 2003
6 	 Brazil 	         1,724,929 	 2000
7 	 Japan 	         1,183,000 	 2003
8 	 Canada 	         1,042,300 	 2005
9 	 France 	          891,290 	 2003
10 	 Russia 	          871,000 	 2004
11 	 Australia 	          810,641 	 2004
12 	 Spain 	          666,292 	 2003
13 	 Italy 	          479,688 	 2004
14 	 Sweden 	          424,981 	 2003
15 	 Poland 	          423,997 	 2004
16 	 United Kingdom 	          387,674 	 2004
17 	 Indonesia 	          368,360 	 2002
18 	 South Africa 	          362,099 	 2002
19 	 Mexico 	          349,038 	 2003
20 	 Turkey 	          347,553 	 2004
21 	 Kazakhstan 	          258,029 	 2003
22 	 Pakistan 	          255,856 	 2004
23 	 Bangladesh 	          239,226 	 2003
24 	 Germany 	          231,581 	 2005
25 	 Argentina 	          229,144 	 2004
26 	 Vietnam 	          222,179 	 2004
27 	 Philippines 	          200,037 	 2003
28 	 Romania 	          198,817 	 2003
29 	 Nigeria 	          194,394 	 1999
30 	 Iran 	          178,152 	 2002
31 	 Ukraine 	          169,447 	 2004
32 	 Hungary 	          159,568 	 2005
33 	 Congo, Democratic Republic of the 	          157,000 	 1999
34 	 Saudi Arabia 	          152,044 	 2000
35 	 Belgium 	          149,757 	 2003
36 	 Netherlands 	          134,000 	 2004
37 	 Austria 	          133,718 	 2003
38 	 Czech Republic 	          127,747 	 2003
39 	 Greece 	          116,470 	 1999
40 	 Colombia 	          110,000 	 2000
41 	 Algeria 	          104,000 	 1999
42 	 Bulgaria 	          102,016 	 2003
43 	 Zimbabwe 	           97,440 	 2002
44 	 Sri Lanka 	           97,287 	 2003
45 	 Korea, South 	           97,252 	 2004
46 	 Venezuela 	           96,155 	 1999
47 	 Ireland 	           95,736 	 2002
48 	 Belarus 	           93,055 	 2003
49 	 New Zealand 	           92,662 	 2003
50 	 Norway 	           92,513 	 2005
51 	 Syria 	           91,795 	 2003
52 	 Zambia 	           91,440 	 2001
53 	 Libya 	           83,200 	 1999
54 	 Uzbekistan 	           81,600 	 1999
55 	 Cameroon 	           80,932 	 2002
56 	 Cote d'Ivoire 	           80,000 	 2006
57 	 Chile 	           79,605 	 2001
58 	 Lithuania 	           79,497 	 2005
59 	 Tanzania 	           78,891 	 2003
60 	 Peru 	           78,672 	 2003
61 	 Finland 	           78,189 	 2006
62 	 Uruguay 	           77,732 	 2004
63 	 Portugal 	           72,600 	 2002
