This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Public debt(% of GDP) 	 Date of Information
1 	 Malawi 	    195.90 	 2005 est.
2 	 Lebanon 	    180.50 	 2005 est.
3 	 Seychelles 	    167.00 	 2005 est.
4 	 Japan 	    158.00 	 2005 est.
5 	 Jamaica 	    128.70 	 2005 est.
6 	 Zimbabwe 	    109.80 	 2005 est.
7 	 Italy 	    108.80 	 2005 est.
8 	 Sudan 	    107.00 	 2005 est.
9 	 Greece 	    106.80 	 2005 est.
10 	 Ethiopia 	    106.20 	 
11 	 Egypt 	    104.70 	 2005 est.
12 	 Singapore 	    102.90 	 2005 est.
13 	 Israel 	     99.70 	 2005 est.
14 	 Belgium 	     94.30 	 2005 est.
15 	 Sri Lanka 	     92.80 	 2005 est.
16 	 Nicaragua 	     82.30 	 2005 est.
17 	 Uruguay 	     81.90 	 2005 est.
18 	 Bhutan 	     81.40 	 
19 	 Moldova 	     79.60 	 2005 est.
20 	 Jordan 	     79.10 	 2005 est.
21 	 Ghana 	     75.90 	 2005 est.
22 	 Argentina 	     72.50 	 2005 est.
23 	 Philippines 	     72.30 	 2005 est.
24 	 Morocco 	     72.00 	 2005 est.
25 	 Zambia 	     71.50 	 2005 est.
26 	 Cyprus 	     70.30 	 2005 est.
27 	 Canada 	     69.60 	 2005 est.
28 	 Honduras 	     68.40 	 2005 est.
29 	 Turkey 	     68.00 	 2005 est.
30 	 Mauritius 	     67.50 	 2005 est.
31 	 Germany 	     67.30 	 2005 est.
32 	 France 	     66.20 	 2005 est.
33 	 Cameroon 	     65.90 	 2005 est.
34 	 Tanzania 	     65.80 	 2005 est.
35 	 Austria 	     65.10 	 2005 est.
36 	 Panama 	     64.90 	 2005 est.
37 	 United States 	     64.70 	 2005 est.
38 	 Cote d'Ivoire 	     64.50 	 2005 est.
39 	 Uganda 	     64.30 	 2005 est.
40 	 Portugal 	     63.90 	 2005 est.
41 	 Tunisia 	     59.10 	 2005 est.
42 	 Hungary 	     58.90 	 2005 est.
43 	 Costa Rica 	     56.80 	 2005 est.
44 	 India 	     53.80 	 2005 est.
45 	 Pakistan 	     53.80 	 2005 est.
46 	 Serbia 	     53.10 	 2005 est.
47 	 Netherlands 	     52.70 	 2005 est.
48 	 Switzerland 	     52.00 	 2005 est.
49 	 Brazil 	     51.60 	 2005 est.
50 	 Sweden 	     50.40 	 2005 est.
51 	 Kenya 	     50.20 	 2005 est.
52 	 Norway 	     50.10 	 2005 est.
53 	 Indonesia 	     49.90 	 2005 est.
54 	 Croatia 	     49.70 	 2005 est.
55 	 Colombia 	     49.50 	 2005 est.
56 	 Vietnam 	     48.20 	 2005 est.
57 	 Poland 	     47.70 	 2005 est.
58 	 Thailand 	     47.60 	 2005 est.
59 	 El Salvador 	     46.70 	 2005 est.
60 	 Aruba 	     46.30 	 
61 	 Malaysia 	     46.20 	 2005 est.
62 	 Senegal 	     46.00 	 2005 est.
63 	 Dominican Republic 	     45.50 	 2005 est.
64 	 Bangladesh 	     44.50 	 2005 est.
65 	 Saudi Arabia 	     44.20 	 2005 est.
66 	 United Kingdom 	     43.10 	 2005 est.
67 	 Trinidad and Tobago 	     43.00 	 2005 est.
68 	 Papua New Guinea 	     42.90 	 2005 est.
69 	 Spain 	     42.90 	 2005 est.
70 	 Slovakia 	     42.50 	 2005 est.
71 	 Ecuador 	     40.10 	 2005 est.
72 	 Syria 	     40.10 	 2005 est.
73 	 Finland 	     39.60 	 2005 est.
74 	 Angola 	     38.30 	 2005 est.
