This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet hosts 	 Date of Information
1 	 United States 	       115,311,958 	 2002
2 	 European Union 	        22,000,414 	 
3 	 Japan 	        12,962,065 	 2003
4 	 Netherlands 	         4,518,226 	 2004
5 	 United Kingdom 	         3,398,708 	 2004
6 	 Canada 	         3,210,081 	 2003
7 	 Brazil 	         3,163,349 	 2003
8 	 Australia 	         2,847,763 	 2003
9 	 Taiwan 	         2,777,085 	 2003
10 	 Germany 	         2,686,119 	 2004
11 	 France 	         2,396,761 	 2004
12 	 Italy 	         1,437,511 	 2004
13 	 Mexico 	         1,333,406 	 2003
14 	 Denmark 	         1,219,925 	 2004
15 	 Finland 	         1,219,173 	 2004
16 	 Spain 	         1,056,950 	 2004
17 	 Sweden 	          945,221 	 2004
18 	 Poland 	          804,915 	 2004
19 	 Argentina 	          742,358 	 2003
20 	 Korea, South 	          694,206 	 2001
21 	 Switzerland 	          667,275 	 2004
22 	 Norway 	          593,850 	 2004
23 	 Hong Kong 	          591,993 	 2003
24 	 Russia 	          560,874 	 2004
25 	 Singapore 	          484,825 	 2003
26 	 New Zealand 	          474,395 	 2003
27 	 Israel 	          437,516 	 2004
28 	 Austria 	          387,006 	 2004
29 	 Hungary 	          383,071 	 2004
30 	 Turkey 	          355,215 	 2004
31 	 Portugal 	          346,078 	 2004
32 	 Czech Republic 	          295,677 	 2004
33 	 South Africa 	          288,633 	 2003
34 	 Greece 	          208,977 	 2004
35 	 Chile 	          202,429 	 2003
36 	 Belgium 	          166,799 	 2004
37 	 Ireland 	          162,228 	 2004
38 	 China 	          160,421 	 2003
39 	 Iceland 	          122,175 	 2004
40 	 Colombia 	          115,158 	 2003
41 	 Malaysia 	          107,971 	 2003
42 	 Thailand 	          103,700 	 2003
43 	 Ukraine 	           94,345 	 2004
44 	 Slovakia 	           89,592 	 2004
45 	 Uruguay 	           87,630 	 2003
46 	 India 	           86,871 	 2003
47 	 Estonia 	           82,142 	 2004
48 	 Lithuania 	           67,769 	 2004
49 	 Peru 	           65,868 	 2003
50 	 Dominican Republic 	           64,197 	 2003
51 	 Indonesia 	           62,036 	 2003
