This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
1 	 European Union 	       314,644,700 	 2002
2 	 China 	       269,000,000 	 2003
3 	 United States 	       158,722,000 	 2003
4 	 Japan 	        86,658,600 	 2003
5 	 Germany 	        64,800,000 	 2003
6 	 Italy 	        55,918,000 	 2003
7 	 United Kingdom 	        49,677,000 	 2002
8 	 Brazil 	        46,373,300 	 2003
9 	 France 	        41,683,100 	 2003
10 	 Spain 	        37,506,700 	 2003
11 	 Korea, South 	        33,591,800 	 2003
12 	 Mexico 	        28,125,000 	 2003
13 	 Turkey 	        27,887,500 	 2003
14 	 India 	        26,154,400 	 2003
15 	 Taiwan 	        25,089,600 	 2003
16 	 Russia 	        17,608,800 	 2002
17 	 Poland 	        17,400,000 	 2003
18 	 South Africa 	        16,860,000 	 2003
19 	 Thailand 	        16,117,000 	 2002
20 	 Philippines 	        15,201,000 	 2002
21 	 Australia 	        14,347,000 	 2003
22 	 Canada 	        13,221,800 	 2003
23 	 Netherlands 	        12,500,000 	 2003
24 	 Indonesia 	        11,700,000 	 2002
25 	 Malaysia 	        11,124,100 	 2003
26 	 Czech Republic 	         9,708,700 	 2003
27 	 Portugal 	         9,341,400 	 2003
28 	 Greece 	         8,936,200 	 2003
29 	 Belgium 	         8,135,500 	 2002
30 	 Sweden 	         7,949,000 	 2002
31 	 Morocco 	         7,332,800 	 2003
32 	 Hong Kong 	         7,241,400 	 2003
33 	 Saudi Arabia 	         7,238,200 	 2003
34 	 Austria 	         7,094,500 	 2003
35 	 Romania 	         6,900,000 	 2003
36 	 Hungary 	         6,862,800 	 2002
37 	 Argentina 	         6,500,000 	 2002
38 	 Venezuela 	         6,463,600 	 2002
39 	 Chile 	         6,445,700 	 2002
40 	 Israel 	         6,334,000 	 2002
41 	 Colombia 	         6,186,200 	 2003
42 	 Switzerland 	         6,172,000 	 2003
43 	 Egypt 	         5,797,500 	 2003
44 	 Denmark 	         4,785,300 	 2003
45 	 Finland 	         4,700,000 	 2003
46 	 Ukraine 	         4,200,000 	 2002
47 	 Norway 	         4,163,400 	 2003
48 	 Slovakia 	         3,678,800 	 2003
49 	 Serbia and Montenegro 	         3,634,600 	 2003
50 	 Singapore 	         3,521,800 	 2004
51 	 Ireland 	         3,400,000 	 2003
52 	 Iran 	         3,376,500 	 2003
53 	 Nigeria 	         3,149,500 	 2003
54 	 United Arab Emirates 	         2,972,300 	 2003
55 	 Peru 	         2,908,800 	 2003
56 	 Vietnam 	         2,742,000 	 2003
57 	 Pakistan 	         2,624,800 	 2003
58 	 New Zealand 	         2,599,000 	 2003
59 	 Bulgaria 	         2,597,500 	 2002
60 	 Croatia 	         2,553,000 	 2003
61 	 Ecuador 	         2,394,400 	 2003
62 	 Lithuania 	         2,169,900 	 2003
63 	 Dominican Republic 	         2,120,400 	 2003
64 	 Tunisia 	         1,899,900 	 2003
65 	 Paraguay 	         1,770,300 	 2003
66 	 Slovenia 	         1,739,100 	 2003
67 	 Kenya 	         1,590,800 	 2003
68 	 Guatemala 	         1,577,100 	 2002
69 	 Algeria 	         1,447,310 	 2003
70 	 Kuwait 	         1,420,000 	 2003
71 	 Bolivia 	         1,401,500 	 2003
72 	 Jamaica 	         1,400,000 	 2002
73 	 Bangladesh 	         1,365,000 	 2003
74 	 Jordan 	         1,325,300 	 2003
75 	 Cote d'Ivoire 	         1,236,000 	 2003
76 	 Latvia 	         1,219,600 	 2003
77 	 Puerto Rico 	         1,211,111 	 2001
78 	 El Salvador 	         1,149,800 	 2003
79 	 Belarus 	         1,118,000 	 2003
80 	 Albania 	         1,100,000 	 2003
81 	 Cameroon 	         1,077,000 	 2003
82 	 Bosnia and Herzegovina 	         1,050,000 	 2003
83 	 Kazakhstan 	         1,027,000 	 2002
84 	 Congo, Democratic Republic of the 	         1,000,000 	 2003
85 	 Sri Lanka 	          931,600 	 2002
86 	 Tanzania 	          891,200 	 2003
87 	 Estonia 	          881,000 	 2002
88 	 Azerbaijan 	          870,000 	 2002
89 	 Panama 	          834,000 	 2003
90 	 Ghana 	          799,900 	 2003
91 	 Uganda 	          776,200 	 2003
92 	 Lebanon 	          775,100 	 2002
93 	 Uruguay 	          652,000 	 2002
94 	 Sudan 	          650,000 	 2003
95 	 Senegal 	          575,900 	 2003
96 	 Costa Rica 	          528,047 	 2002
