This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Market value of publicly traded shares 	 Date of Information
1 	 World 	  53,510,000,000,000.00 	 2006
2 	 United States 	  17,000,000,000,000.00 	 2005
3 	 European Union 	  11,640,000,000,000.00 	 2006
4 	 Japan 	  4,737,000,000,000.00 	 2005
5 	 China 	  4,477,000,000,000.00 	 31 December 2007 est.
6 	 United Kingdom 	  3,058,000,000,000.00 	 2005
7 	 Hong Kong 	  2,970,000,000,000.00 	 2007 est.
8 	 France 	  1,710,000,000,000.00 	 2005
9 	 Canada 	  1,481,000,000,000.00 	 2005
10 	 Russia 	  1,322,000,000,000.00 	 2006
11 	 Germany 	  1,221,000,000,000.00 	 2005
12 	 Finland 	  1,095,000,000,000.00 	 January 2008
13 	 Korea, South 	  1,051,000,000,000.00 	 2007
14 	 Spain 	  960,000,000,000.00 	 2005
15 	 Switzerland 	  938,600,000,000.00 	 2005
16 	 Netherlands 	  924,400,000,000.00 	 November 2007
17 	 South Africa 	  842,000,000,000.00 	 January 2008
18 	 India 	  818,900,000,000.00 	 2006
19 	 Australia 	  804,100,000,000.00 	 2005
20 	 Italy 	  798,200,000,000.00 	 2005
21 	 Brazil 	  711,100,000,000.00 	 2006
22 	 Taiwan 	  654,000,000,000.00 	 28 December 2007
23 	 Netherlands Antilles 	  488,600,000,000.00 	 2003
24 	 Belgium 	  422,700,000,000.00 	 2006
25 	 Sweden 	  403,900,000,000.00 	 2005
26 	 Singapore 	  382,400,000,000.00 	 2007
27 	 Mexico 	  348,300,000,000.00 	 2006
28 	 Saudi Arabia 	  326,900,000,000.00 	 2006
29 	 Malaysia 	  235,400,000,000.00 	 2006
30 	 Norway 	  191,000,000,000.00 	 2005
31 	 Denmark 	  178,000,000,000.00 	 2005
32 	 Chile 	  174,600,000,000.00 	 2006
33 	 Israel 	  173,300,000,000.00 	 2006
34 	 Turkey 	  162,400,000,000.00 	 2006
35 	 Poland 	  149,100,000,000.00 	 2006
36 	 Greece 	  145,000,000,000.00 	 2005
37 	 Thailand 	  139,600,000,000.00 	 2006
38 	 Indonesia 	  138,900,000,000.00 	 2006
39 	 United Arab Emirates 	  138,500,000,000.00 	 2006
40 	 Kuwait 	  128,900,000,000.00 	 2006
41 	 Austria 	  126,300,000,000.00 	 2005
42 	 Ireland 	  114,100,000,000.00 	 2005
43 	 Philippines 	  103,400,000,000.00 	 2007
44 	 Egypt 	  93,480,000,000.00 	 2006
45 	 Argentina 	  79,730,000,000.00 	 2006
46 	 Luxembourg 	  79,400,000,000.00 	 2006
47 	 Portugal 	  66,980,000,000.00 	 2005
48 	 Qatar 	  61,560,000,000.00 	 2006
49 	 Peru 	  59,660,000,000.00 	 2006
50 	 Colombia 	  56,200,000,000.00 	 2006
51 	 Morocco 	  49,600,000,000.00 	 2006
52 	 Czech Republic 	  48,600,000,000.00 	 2006
53 	 Cyprus 	  48,200,000,000.00 	 2005
54 	 Pakistan 	  45,520,000,000.00 	 2006
55 	 Romania 	  45,420,000,000.00 	 2007
56 	 Iran 	  45,200,000,000.00 	 December 2007
57 	 Ukraine 	  42,870,000,000.00 	 2006
58 	 Hungary 	  41,930,000,000.00 	 2006
