This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - per capita (PPP) 	 Date of Information
1 	 Qatar 	 $            87,600 	 2007 est.
2 	 Luxembourg 	 $            79,400 	 2007 est.
3 	 Bermuda 	 $            69,900 	 2004 est.
4 	 Jersey 	 $            57,000 	 2005 est.
5 	 Kuwait 	 $            55,900 	 2007 est.
6 	 Norway 	 $            53,300 	 2007 est.
7 	 Brunei 	 $            51,000 	 2007 est.
8 	 Singapore 	 $            49,900 	 2007 est.
9 	 Ireland 	 $            46,600 	 2007 est.
10 	 United States 	 $            45,800 	 2007 est.
11 	 Guernsey 	 $            44,600 	 2005
12 	 Cayman Islands 	 $            43,800 	 2004 est.
13 	 Hong Kong 	 $            42,000 	 2007 est.
14 	 Iceland 	 $            40,400 	 2007 est.
15 	 Switzerland 	 $            40,100 	 2007 est.
16 	 Austria 	 $            39,300 	 2007 est.
17 	 Netherlands 	 $            39,000 	 2007 est.
18 	 Andorra 	 $            38,800 	 2005
19 	 Canada 	 $            38,600 	 2007 est.
20 	 British Virgin Islands 	 $            38,500 	 2004 est.
21 	 Gibraltar 	 $            38,200 	 2005 est.
22 	 Sweden 	 $            37,500 	 2007 est.
23 	 Australia 	 $            37,300 	 2007 est.
24 	 Denmark 	 $            37,200 	 2007 est.
25 	 United Arab Emirates 	 $            37,000 	 2007 est.
26 	 Belgium 	 $            36,200 	 2007 est.
27 	 Finland 	 $            36,000 	 2007 est.
28 	 Isle of Man 	 $            35,000 	 2005 est.
29 	 United Kingdom 	 $            35,000 	 2007 est.
30 	 Germany 	 $            34,100 	 2007 est.
31 	 San Marino 	 $            34,100 	 2004 est.
32 	 Bahrain 	 $            33,900 	 2007 est.
33 	 Spain 	 $            33,600 	 2007 est.
34 	 Japan 	 $            33,500 	 2007 est.
35 	 European Union 	 $            32,700 	 2007 est.
36 	 France 	 $            32,600 	 2007 est.
37 	 Faroe Islands 	 $            31,000 	 2001 est.
38 	 Italy 	 $            30,900 	 2007 est.
39 	 Greece 	 $            30,600 	 2007 est.
40 	 Taiwan 	 $            30,100 	 2007 est.
41 	 Monaco 	 $            30,000 	 2006 est.
42 	 Macau 	 $            28,400 	 2006
43 	 Equatorial Guinea 	 $            28,200 	 2007 est.
44 	 Bahamas, The 	 $            28,000 	 2007 est.
45 	 Slovenia 	 $            28,000 	 2007 est.
46 	 New Zealand 	 $            27,200 	 2007 est.
47 	 Cyprus 	 $            27,100 	 2007 est.
48 	 Israel 	 $            26,600 	 2007 est.
49 	 Trinidad and Tobago 	 $            25,400 	 2007 est.
50 	 Falkland Islands (Islas Malvinas) 	 $            25,000 	 2002 est.
51 	 Liechtenstein 	 $            25,000 	 1999 est.
52 	 Korea, South 	 $            25,000 	 2007 est.
53 	 Czech Republic 	 $            24,500 	 2007 est.
54 	 Malta 	 $            23,400 	 2007 est.
55 	 Aruba 	 $            21,800 	 2004 est.
56 	 Portugal 	 $            21,800 	 2007 est.
57 	 Estonia 	 $            21,800 	 2007 est.
58 	 Slovakia 	 $            20,200 	 2007 est.
59 	 Greenland 	 $            20,000 	 2001 est.
60 	 Saudi Arabia 	 $            19,800 	 2007 est.
61 	 Hungary 	 $            19,300 	 2007 est.
62 	 Oman 	 $            19,000 	 2007 est.
63 	 Barbados 	 $            18,900 	 2007 est.
64 	 Puerto Rico 	 $            18,400 	 2007 est.
65 	 Antigua and Barbuda 	 $            18,300 	 2007 est.
66 	 Latvia 	 $            17,700 	 2007 est.
67 	 French Polynesia 	 $            17,500 	 2003 est.
68 	 Lithuania 	 $            16,800 	 2007 est.
69 	 Seychelles 	 $            16,600 	 2007 est.
70 	 Poland 	 $            16,200 	 2007 est.
71 	 Netherlands Antilles 	 $            16,000 	 2004 est.
72 	 Croatia 	 $            15,500 	 2007 est.
73 	 Guam 	 $            15,000 	 2005 est.
74 	 New Caledonia 	 $            15,000 	 2003 est.
75 	 Russia 	 $            14,800 	 2007 est.
76 	 Malaysia 	 $            14,500 	 2007 est.
77 	 Virgin Islands 	 $            14,500 	 2004 est.
78 	 Botswana 	 $            14,300 	 2007 est.
79 	 Chile 	 $            14,300 	 2007 est.
80 	 Gabon 	 $            14,000 	 2007 est.
81 	 Saint Kitts and Nevis 	 $            13,900 	 2007 est.
82 	 Argentina 	 $            13,100 	 2007 est.
83 	 Venezuela 	 $            12,800 	 2007 est.
84 	 Northern Mariana Islands 	 $            12,500 	 2000 est.
85 	 Libya 	 $            12,400 	 2007 est.
86 	 Mexico 	 $            12,400 	 2007 est.
87 	 Turkey 	 $            12,000 	 2007 est.
88 	 Bulgaria 	 $            11,800 	 2007 est.
89 	 Iran 	 $            11,700 	 2007 est.
