This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Birth rate(births/1,000 population) 	 Date of Information
1 	 Niger 	     50.73 	 2006 est.
2 	 Mali 	     49.82 	 2006 est.
3 	 Uganda 	     47.35 	 2006 est.
4 	 Afghanistan 	     46.60 	 2006 est.
5 	 Sierra Leone 	     45.76 	 2006 est.
6 	 Chad 	     45.73 	 2006 est.
7 	 Burkina Faso 	     45.62 	 2006 est.
8 	 Somalia 	     45.13 	 2006 est.
9 	 Angola 	     45.11 	 2006 est.
10 	 Liberia 	     44.77 	 2006 est.
11 	 Congo, Democratic Republic of the 	     43.69 	 2006 est.
12 	 Malawi 	     43.13 	 2006 est.
13 	 Yemen 	     42.89 	 2006 est.
14 	 Congo, Republic of the 	     42.57 	 2006 est.
15 	 Burundi 	     42.22 	 2006 est.
16 	 Guinea 	     41.76 	 2006 est.
17 	 Madagascar 	     41.41 	 2006 est.
18 	 Zambia 	     41.00 	 2006 est.
19 	 Mauritania 	     40.99 	 2006 est.
20 	 Mayotte 	     40.95 	 2006 est.
21 	 Nigeria 	     40.43 	 2006 est.
22 	 Rwanda 	     40.37 	 2006 est.
23 	 Sao Tome and Principe 	     40.25 	 2006 est.
24 	 Kenya 	     39.72 	 2006 est.
25 	 Djibouti 	     39.53 	 2006 est.
26 	 Gaza Strip 	     39.45 	 2006 est.
27 	 Gambia, The 	     39.37 	 2006 est.
28 	 Benin 	     38.85 	 2006 est.
29 	 Ethiopia 	     37.98 	 2006 est.
30 	 Tanzania 	     37.71 	 2006 est.
31 	 Guinea-Bissau 	     37.22 	 2006 est.
32 	 Togo 	     37.01 	 2006 est.
33 	 Comoros 	     36.93 	 2006 est.
34 	 Haiti 	     36.44 	 2006 est.
35 	 Oman 	     36.24 	 2006 est.
36 	 Gabon 	     36.16 	 2006 est.
37 	 Equatorial Guinea 	     35.59 	 2006 est.
38 	 Laos 	     35.49 	 2006 est.
39 	 Mozambique 	     35.18 	 2006 est.
40 	 Cote d'Ivoire 	     35.11 	 2006 est.
41 	 Maldives 	     34.81 	 2006 est.
42 	 Sudan 	     34.53 	 2006 est.
43 	 Eritrea 	     34.33 	 2006 est.
44 	 Central African Republic 	     33.91 	 2006 est.
45 	 Cameroon 	     33.89 	 2006 est.
46 	 Bhutan 	     33.65 	 2006 est.
47 	 Marshall Islands 	     33.05 	 2006 est.
48 	 Senegal 	     32.78 	 2006 est.
49 	 Tajikistan 	     32.65 	 2006 est.
50 	 Iraq 	     31.98 	 2006 est.
51 	 West Bank 	     31.67 	 2006 est.
52 	 Nepal 	     30.98 	 2006 est.
53 	 Kiribati 	     30.65 	 2006 est.
54 	 Ghana 	     30.52 	 2006 est.
55 	 Solomon Islands 	     30.01 	 2006 est.
56 	 Guatemala 	     29.88 	 2006 est.
57 	 Bangladesh 	     29.80 	 2006 est.
58 	 Pakistan 	     29.74 	 2006 est.
59 	 Papua New Guinea 	     29.36 	 2006 est.
60 	 Saudi Arabia 	     29.34 	 2006 est.
61 	 Paraguay 	     29.10 	 2006 est.
62 	 Belize 	     28.84 	 2006 est.
63 	 Honduras 	     28.24 	 2006 est.
64 	 Zimbabwe 	     28.01 	 2006 est.
65 	 Syria 	     27.76 	 2006 est.
66 	 Turkmenistan 	     27.61 	 2006 est.
67 	 Swaziland 	     27.41 	 2006 est.
68 	 East Timor 	     26.99 	 2006 est.
