This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet users 	 Date of Information
1 	 World 	      1,018,057,389 	 2005
2 	 European Union 	       239,881,917 	 2006
3 	 United States 	       205,326,680 	 2005
4 	 China 	       123,000,000 	 2006
5 	 Japan 	        86,300,000 	 2005
6 	 India 	        60,000,000 	 2005
7 	 Germany 	        50,616,000 	 2006
8 	 United Kingdom 	        37,600,000 	 2005
9 	 Korea, South 	        33,900,000 	 2005
10 	 France 	        29,521,000 	 2006
11 	 Italy 	        28,870,000 	 2005
12 	 Brazil 	        25,900,000 	 2005
13 	 Russia 	        23,700,000 	 2005
14 	 Canada 	        21,900,000 	 2005
15 	 Spain 	        19,204,771 	 2006
16 	 Mexico 	        18,622,500 	 2005
17 	 Indonesia 	        16,000,000 	 2005
18 	 Turkey 	        16,000,000 	 2005
19 	 Australia 	        14,663,622 	 2006
20 	 Taiwan 	        13,210,000 	 2005
21 	 Vietnam 	        13,100,000 	 2006
22 	 Malaysia 	        11,016,000 	 2005
23 	 Netherlands 	        10,806,328 	 2004
24 	 Poland 	        10,600,000 	 2005
25 	 Pakistan 	        10,500,000 	 2005
26 	 Argentina 	        10,000,000 	 2005
27 	 Thailand 	         8,420,000 	 2005
28 	 Philippines 	         7,820,000 	 2005
29 	 Portugal 	         7,782,700 	 2006
30 	 Iran 	         7,500,000 	 2005
31 	 Sweden 	         6,800,000 	 2005
32 	 Chile 	         6,700,000 	 2005
33 	 Ukraine 	         5,278,100 	 2005
34 	 Belgium 	         5,100,000 	 2005
35 	 South Africa 	         5,100,000 	 2005
36 	 Czech Republic 	         5,100,000 	 2005
37 	 Switzerland 	         5,097,822 	 2005
38 	 Egypt 	         5,000,000 	 2005
39 	 Nigeria 	         5,000,000 	 2005
40 	 Romania 	         4,940,000 	 2005
41 	 Hong Kong 	         4,878,713 	 2005
42 	 Colombia 	         4,739,000 	 2005
43 	 Austria 	         4,650,000 	 2005
44 	 Morocco 	         4,600,000 	 2005
45 	 Peru 	         4,600,000 	 2005
46 	 Greece 	         3,800,000 	 2005
47 	 Denmark 	         3,762,500 	 2005
48 	 Israel 	         3,700,000 	 2006
49 	 Belarus 	         3,394,400 	 2005
50 	 Finland 	         3,286,000 	 2005
51 	 New Zealand 	         3,200,000 	 2005
52 	 Norway 	         3,140,000 	 2005
53 	 Hungary 	         3,050,000 	 2005
54 	 Venezuela 	         3,040,000 	 2005
55 	 Sudan 	         2,800,000 	 2005
56 	 Saudi Arabia 	         2,540,000 	 2005
57 	 Slovakia 	         2,500,000 	 2005
58 	 Singapore 	         2,421,800 	 2005
59 	 Bulgaria 	         2,200,000 	 2005
60 	 Ireland 	         2,060,000 	 2005
61 	 Algeria 	         1,920,000 	 2005
62 	 Croatia 	         1,451,100 	 2005
63 	 Serbia 	         1,400,000 	 2006
64 	 United Arab Emirates 	         1,397,200 	 2005
65 	 Lithuania 	         1,221,700 	 2005
66 	 Syria 	         1,100,000 	 2005
67 	 Slovenia 	         1,090,000 	 2005
68 	 Jamaica 	         1,067,000 	 2005
