This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Current account balance 	 Date of Information
1 	 Japan 	 $     135,900,000,000 	 2003
2 	 Germany 	 $      57,240,000,000 	 2003
3 	 Switzerland 	 $      36,000,000,000 	 2003
4 	 Russia 	 $      35,910,000,000 	 2003
5 	 China 	 $      31,170,000,000 	 2003
6 	 Norway 	 $      29,340,000,000 	 2003
7 	 Taiwan 	 $      28,570,000,000 	 2003
8 	 Singapore 	 $      26,150,000,000 	 2003
9 	 Saudi Arabia 	 $      22,270,000,000 	 2003
10 	 Sweden 	 $      19,560,000,000 	 2003
11 	 Canada 	 $      18,630,000,000 	 2003
12 	 Hong Kong 	 $      17,420,000,000 	 2003
13 	 France 	 $      13,800,000,000 	 2003
14 	 Malaysia 	 $      13,380,000,000 	 2003
15 	 United Arab Emirates 	 $      12,470,000,000 	 2003
16 	 Korea, South 	 $      12,320,000,000 	 2003
17 	 Netherlands 	 $      12,090,000,000 	 2003
18 	 Belgium 	 $      10,690,000,000 	 2003
19 	 Finland 	 $      10,300,000,000 	 2003
20 	 Venezuela 	 $       9,659,000,000 	 2003
21 	 Thailand 	 $       9,440,000,000 	 2003
22 	 Kuwait 	 $       8,652,000,000 	 2003
23 	 Argentina 	 $       7,855,000,000 	 2003
24 	 Algeria 	 $       7,836,000,000 	 2003
25 	 Indonesia 	 $       7,336,000,000 	 2003
26 	 Libya 	 $       6,641,000,000 	 2003
27 	 Denmark 	 $       6,397,000,000 	 2003
28 	 Qatar 	 $       4,149,000,000 	 2003
29 	 Iran 	 $       3,935,000,000 	 2003
30 	 Egypt 	 $       3,874,000,000 	 2003
31 	 Brazil 	 $       3,520,000,000 	 2003
32 	 India 	 $       3,410,000,000 	 2003
33 	 Pakistan 	 $       3,358,000,000 	 2003
34 	 Philippines 	 $       3,349,000,000 	 2003
35 	 Ukraine 	 $       2,891,000,000 	 2003
36 	 Oman 	 $       2,173,000,000 	 2003
37 	 Nigeria 	 $       1,439,000,000 	 2003
38 	 Iraq 	 $       1,136,000,000 	 2003
39 	 Morocco 	 $        963,000,000 	 2003
40 	 Turkmenistan 	 $        957,000,000 	 2003
41 	 Trinidad and Tobago 	 $        954,000,000 	 2003
42 	 Jordan 	 $        903,000,000 	 2003
43 	 Dominican Republic 	 $        867,000,000 	 2003
44 	 Botswana 	 $        539,000,000 	 2003
45 	 Cote d'Ivoire 	 $        501,000,000 	 2003
46 	 Uzbekistan 	 $        462,000,000 	 2003
